,EGAD,EGAF,EGAX,EGAN,AUTHOR_ID,LIBRARY_TYPE,DESCRIPTION
0,EGAD00001015384,EGAF00008498282,EGAX00003312705,EGAN00002645746,WSSS_THYst9142086,Chromium Visium,
1,EGAD00001015384,EGAF00008498283,EGAX00003312706,EGAN00002645747,WSSS_THYst9142087,Chromium Visium,
2,EGAD00001015384,EGAF00008498284,EGAX00003312707,EGAN00002645748,WSSS_THYst9142088,Chromium Visium,
3,EGAD00001015384,EGAF00008498285,EGAX00003312708,EGAN00002645749,WSSS_THYst9142089,Chromium Visium,
4,EGAD00001015384,EGAF00008498286,EGAX00003312712,EGAN00002669211,TA9260022,Chromium single cell TCR,
5,EGAD00001015384,EGAF00008498287,EGAX00003312713,EGAN00002669211,TA9260022,Chromium single cell TCR,
6,EGAD00001015384,EGAF00008498288,EGAX00003312716,EGAN00002669201,TA9260012,Chromium single cell 5 prime,
7,EGAD00001015384,EGAF00008498289,EGAX00003312717,EGAN00002669201,TA9260012,Chromium single cell 5 prime,
8,EGAD00001015384,EGAF00008498290,EGAX00003312718,EGAN00002669201,TA9260012,Chromium single cell 5 prime,
9,EGAD00001015384,EGAF00008498291,EGAX00003312719,EGAN00002669201,TA9260012,Chromium single cell 5 prime,
10,EGAD00001015384,EGAF00008498292,EGAX00003312720,EGAN00002669202,TA9260013,Chromium single cell 5 prime,
11,EGAD00001015384,EGAF00008498293,EGAX00003312714,EGAN00002669211,TA9260022,Chromium single cell TCR,
12,EGAD00001015384,EGAF00008498294,EGAX00003312721,EGAN00002669202,TA9260013,Chromium single cell 5 prime,
13,EGAD00001015384,EGAF00008498295,EGAX00003312722,EGAN00002669202,TA9260013,Chromium single cell 5 prime,
14,EGAD00001015384,EGAF00008498296,EGAX00003312723,EGAN00002669202,TA9260013,Chromium single cell 5 prime,
15,EGAD00001015384,EGAF00008498297,EGAX00003312715,EGAN00002669211,TA9260022,Chromium single cell TCR,
16,EGAD00001015384,EGAF00008498298,EGAX00003312709,EGAN00002832693,WSSS_THYst9518032,Chromium Visium,
17,EGAD00001015384,EGAF00008498299,EGAX00003312710,EGAN00002832694,WSSS_THYst9518033,Chromium Visium,
18,EGAD00001015384,EGAF00008498300,EGAX00003312711,EGAN00002832691,WSSS_THYst9518030,Chromium Visium,
19,EGAD00001015384,EGAF00008498301,EGAX00003312724,EGAN00003140938,TA10211545,Chromium single cell TCR,
20,EGAD00001015384,EGAF00008498302,EGAX00003312725,EGAN00003140938,TA10211545,Chromium single cell TCR,
21,EGAD00001015384,EGAF00008498303,EGAX00003312726,EGAN00003140938,TA10211545,Chromium single cell TCR,
22,EGAD00001015384,EGAF00008498304,EGAX00003312727,EGAN00003140938,TA10211545,Chromium single cell TCR,
23,EGAD00001015384,EGAF00008498305,EGAX00003312728,EGAN00003526838,TA12571164,Chromium single cell 5 prime,
24,EGAD00001015384,EGAF00008498306,EGAX00003312729,EGAN00003526839,TA12571165,Chromium single cell 5 prime,
25,EGAD00001015384,EGAF00008498307,EGAX00003312733,EGAN00003619747,TA13072430,Chromium single cell TCR,
26,EGAD00001015384,EGAF00008498308,EGAX00003312734,EGAN00003619750,TA13072431,Chromium single cell TCR,
27,EGAD00001015384,EGAF00008498309,EGAX00003312735,EGAN00003619751,TA13072432,Chromium single cell TCR,
28,EGAD00001015384,EGAF00008498310,EGAX00003312730,EGAN00003619749,TA13072427,Chromium single cell 5 prime,
29,EGAD00001015384,EGAF00008498311,EGAX00003312731,EGAN00003619748,TA13072428,Chromium single cell 5 prime,
30,EGAD00001015384,EGAF00008498312,EGAX00003312732,EGAN00003619746,TA13072429,Chromium single cell 5 prime,
31,EGAD00001015384,EGAF00008498313,EGAX00003312739,EGAN00003619747,TA13072430,Chromium single cell TCR,
32,EGAD00001015384,EGAF00008498314,EGAX00003312740,EGAN00003619750,TA13072431,Chromium single cell TCR,
33,EGAD00001015384,EGAF00008498315,EGAX00003312741,EGAN00003619751,TA13072432,Chromium single cell TCR,
34,EGAD00001015384,EGAF00008498316,EGAX00003312736,EGAN00003619749,TA13072427,Chromium single cell 5 prime,
35,EGAD00001015384,EGAF00008498317,EGAX00003312737,EGAN00003619748,TA13072428,Chromium single cell 5 prime,
36,EGAD00001015384,EGAF00008498318,EGAX00003312738,EGAN00003619746,TA13072429,Chromium single cell 5 prime,
