,EGAD,EGAX,EGAN,AUTHOR_ID,LIBRARY_TYPE,DESCRIPTION
0,EGAD50000001295,EGAX50000036271,EGAN50000223075,10X147_1,10Xchromium 3' single cell version 2,XDD:326_Medulla_6w
1,EGAD50000001295,EGAX50000036271,EGAN50000223066,10X186_1,10Xchromium 3' single cell version 2,XDD:351_Cerebellum_12w
2,EGAD50000001295,EGAX50000036271,EGAN50000223076,10X186_4,10Xchromium 3' single cell version 2,XDD:351_Subcortex_12w
3,EGAD50000001295,EGAX50000036271,EGAN50000223131,10X187_1,10Xchromium 3' single cell version 2,XDD:351_Cortex_12w
4,EGAD50000001295,EGAX50000036271,EGAN50000223072,10X187_2,10Xchromium 3' single cell version 2,XDD:351_Cortex_12w
5,EGAD50000001295,EGAX50000036271,EGAN50000223092,10X187_3,10Xchromium 3' single cell version 2,XDD:351_Enthorinal cortex_12w
6,EGAD50000001295,EGAX50000036271,EGAN50000223104,10X187_4,10Xchromium 3' single cell version 2,XDD:351_Enthorinal cortex_12w
7,EGAD50000001295,EGAX50000036271,EGAN50000223083,10X187_6,10Xchromium 3' single cell version 2,XDD:351_Hippocampus_12w
8,EGAD50000001295,EGAX50000036271,EGAN50000223118,10X187_8,10Xchromium 3' single cell version 2,XDD:351_Subcortex_12w
9,EGAD50000001295,EGAX50000036271,EGAN50000223069,10X188_1,10Xchromium 3' single cell version 2,XDD:351_Cortex_12w
10,EGAD50000001295,EGAX50000036271,EGAN50000223097,10X188_2,10Xchromium 3' single cell version 2,XDD:351_Enthorinal cortex_12w
11,EGAD50000001295,EGAX50000036271,EGAN50000223102,10X188_3,10Xchromium 3' single cell version 2,XDD:351_Hippocampus_12w
12,EGAD50000001295,EGAX50000036271,EGAN50000223063,10X188_4,10Xchromium 3' single cell version 2,XDD:351_Subcortex_12w
13,EGAD50000001295,EGAX50000036271,EGAN50000223085,10X251_7,10Xchromium 3' single cell version 2,XDD:385_Dorsal midbrain_14w
14,EGAD50000001295,EGAX50000036271,EGAN50000223125,10X251_8,10Xchromium 3' single cell version 2,XDD:385_Dorsal midbrain_14w
15,EGAD50000001295,EGAX50000036271,EGAN50000223070,10X252_1,10Xchromium 3' single cell version 2,XDD:385_Dorsal midbrain_14w
