,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[developmental stage],Characteristics[embryonic stage],Characteristics[sex],Characteristics[disease],Characteristics[organism part],Characteristics[sampling site],Characteristics[individual],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[ORIENTATION],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[single cell isolation],Comment[spike in],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Protocol REF.4,Protocol REF.5,Derived Array Data File,Derived Array Data File.1,Protocol REF.6,Protocol REF.7,Derived Array Data File.2,Derived Array Data File.3,Protocol REF.8,Protocol REF.9,Derived Array Data File.4,Derived Array Data File.5,Factor Value[sampling site]
0,WS_wEMB11031919,ERS10921058,SAMEA13318319,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section one,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031919,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031919,sequencing assay,ERX8675061,WS_wEMB11031919_S1_L001_I1_001.fastq.gz,WS_wEMB11031919_S1_L001_I1_001.fastq.gz,ERR9132595,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132595/WS_wEMB11031919_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section one
1,WS_wEMB11031919,ERS10921058,SAMEA13318319,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section one,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031919,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031919,sequencing assay,ERX8675061,WS_wEMB11031919_S1_L001_R1_001.fastq.gz,WS_wEMB11031919_S1_L001_R1_001.fastq.gz,ERR9132595,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132595/WS_wEMB11031919_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section one
2,WS_wEMB11031919,ERS10921058,SAMEA13318319,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section one,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031919,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031919,sequencing assay,ERX8675061,WS_wEMB11031919_S1_L001_R2_001.fastq.gz,WS_wEMB11031919_S1_L001_R2_001.fastq.gz,ERR9132595,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132595/WS_wEMB11031919_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section one
3,WS_wEMB11031920,ERS10921059,SAMEA13318320,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section two,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031920,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031920,sequencing assay,ERX8675062,WS_wEMB11031920_S1_L001_I1_001.fastq.gz,WS_wEMB11031920_S1_L001_I1_001.fastq.gz,ERR9132596,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132596/WS_wEMB11031920_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section two
4,WS_wEMB11031920,ERS10921059,SAMEA13318320,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section two,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031920,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031920,sequencing assay,ERX8675062,WS_wEMB11031920_S1_L001_R1_001.fastq.gz,WS_wEMB11031920_S1_L001_R1_001.fastq.gz,ERR9132596,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132596/WS_wEMB11031920_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section two
5,WS_wEMB11031920,ERS10921059,SAMEA13318320,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section two,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031920,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031920,sequencing assay,ERX8675062,WS_wEMB11031920_S1_L001_R2_001.fastq.gz,WS_wEMB11031920_S1_L001_R2_001.fastq.gz,ERR9132596,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132596/WS_wEMB11031920_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section two
6,WS_wEMB11031921,ERS10921060,SAMEA13318321,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section three,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031921,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031921,sequencing assay,ERX8675063,WS_wEMB11031921_S1_L001_I1_001.fastq.gz,WS_wEMB11031921_S1_L001_I1_001.fastq.gz,ERR9132597,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132597/WS_wEMB11031921_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section three
7,WS_wEMB11031921,ERS10921060,SAMEA13318321,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section three,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031921,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031921,sequencing assay,ERX8675063,WS_wEMB11031921_S1_L001_R1_001.fastq.gz,WS_wEMB11031921_S1_L001_R1_001.fastq.gz,ERR9132597,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132597/WS_wEMB11031921_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section three
8,WS_wEMB11031921,ERS10921060,SAMEA13318321,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section three,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031921,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031921,sequencing assay,ERX8675063,WS_wEMB11031921_S1_L001_R2_001.fastq.gz,WS_wEMB11031921_S1_L001_R2_001.fastq.gz,ERR9132597,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132597/WS_wEMB11031921_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section three
9,WS_wEMB11031922,ERS10921061,SAMEA13318322,Homo sapiens,embryonic stage,Carnegie stage 16,male,normal,embryo,section four,F147,cell,P-MTAB-119561,P-MTAB-119562,P-MTAB-119563,WS_wEMB11031922,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',5 prime tag,polyA RNA,10x 5' v2,oligo-dT,10x,none,0,index 1,8,16,read 1,10,read 2,0,98,0,read 1,16,P-MTAB-119564,Sanger Institute,WS_wEMB11031922,sequencing assay,ERX8675064,WS_wEMB11031922_S1_L001_I1_001.fastq.gz,WS_wEMB11031922_S1_L001_I1_001.fastq.gz,ERR9132598,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR913/ERR9132598/WS_wEMB11031922_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-119565,P-MTAB-119566,F147_cellranger_features_for_all_lanes.tsv.gz,F147_cellbender_corrected_features_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_barcodes_for_all_lanes.tsv.gz,F147_cellbender_corrected_barcodes_for_all_high_quality_lanes.tsv.gz,P-MTAB-119565,P-MTAB-119566,F147_cellranger_count_matrix_for_all_lanes.mtx.gz,F147_cellbender_corrected_matrix_for_all_high_quality_lanes.mtx.gz,section four
