,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[input sample],Characteristics[protocol],Characteristics[paired library],Characteristics[individual],Characteristics[sex],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[developmental stage],Characteristics[disease],Characteristics[organism part],Characteristics[organism],Material Type,Protocol REF,Performer,Protocol REF.1,Performer.1,Protocol REF.2,Performer.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[single cell isolation],Comment[spike in],Comment[cell barcode read],Comment[cell barcode offset],Comment[cell barcode size],Comment[umi barcode read],Comment[umi barcode offset],Comment[umi barcode size],Comment[cDNA read],Comment[cDNA read offset],Comment[cDNA read size],Comment[sample barcode read],Comment[sample barcode offset],Comment[sample barcode size],Protocol REF.3,Performer.3,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[read_type],Comment[read_index],Protocol REF.4,Protocol REF.5,Derived Array Data File,Protocol REF.6,Protocol REF.7,Derived Array Data File.1,Protocol REF.8,Protocol REF.9,Derived Array Data File.2,Protocol REF.10,Protocol REF.11,Derived Array Data File.3,Protocol REF.12,Protocol REF.13,Derived Array Data File.4,Protocol REF.14,Protocol REF.15,Derived Array Data File.5,Factor Value[sex],Factor Value[age],Unit[time unit].1,Term Source REF.1,Term Accession Number.1,Factor Value[developmental stage],Factor Value[single cell identifier]
0,FCA_GND10287600,ERS16192270,SAMEA114211585,Hrv58-GON-0-FO-1a-m,rna,FCA_GND10288176,Hrv58,female,21.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287600,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287600,sequencing assay,ERX11168210,FCA_GND10287600_S1_L001_I1_001.fastq.gz,FCA_GND10287600_S1_L001_I1_001.fastq.gz,ERR11769385,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769385/FCA_GND10287600_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_features.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_features.tsv.gz,female,21.0,week,EFO,UO_0000034,21.0,FCA_GND10287600
1,FCA_GND10287600,ERS16192270,SAMEA114211585,Hrv58-GON-0-FO-1a-m,rna,FCA_GND10288176,Hrv58,female,21.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287600,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287600,sequencing assay,ERX11168210,FCA_GND10287600_S1_L001_R1_001.fastq.gz,FCA_GND10287600_S1_L001_R1_001.fastq.gz,ERR11769385,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769385/FCA_GND10287600_S1_L001_R1_001.fastq.gz,"cell_barcode,umi_barcode",read1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_features.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_features.tsv.gz,female,21.0,week,EFO,UO_0000034,21.0,FCA_GND10287600
2,FCA_GND10287600,ERS16192270,SAMEA114211585,Hrv58-GON-0-FO-1a-m,rna,FCA_GND10288176,Hrv58,female,21.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287600,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287600,sequencing assay,ERX11168210,FCA_GND10287600_S1_L001_R2_001.fastq.gz,FCA_GND10287600_S1_L001_R2_001.fastq.gz,ERR11769385,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769385/FCA_GND10287600_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287600_features.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288176_and_FCA_GND10287600_features.tsv.gz,female,21.0,week,EFO,UO_0000034,21.0,FCA_GND10287600
3,FCA_GND10287601,ERS16192271,SAMEA114211586,Hrv58-GON-0-FO-1b-m,rna,FCA_GND10288177,Hrv58,female,21.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287601,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287601,sequencing assay,ERX11168211,FCA_GND10287601_S1_L001_I1_001.fastq.gz,FCA_GND10287601_S1_L001_I1_001.fastq.gz,ERR11769376,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769376/FCA_GND10287601_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_features.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_features.tsv.gz,female,21.0,week,EFO,UO_0000034,21.0,FCA_GND10287601
4,FCA_GND10287601,ERS16192271,SAMEA114211586,Hrv58-GON-0-FO-1b-m,rna,FCA_GND10288177,Hrv58,female,21.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287601,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287601,sequencing assay,ERX11168211,FCA_GND10287601_S1_L001_R1_001.fastq.gz,FCA_GND10287601_S1_L001_R1_001.fastq.gz,ERR11769376,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769376/FCA_GND10287601_S1_L001_R1_001.fastq.gz,"cell_barcode,umi_barcode",read1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_features.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_features.tsv.gz,female,21.0,week,EFO,UO_0000034,21.0,FCA_GND10287601
5,FCA_GND10287601,ERS16192271,SAMEA114211586,Hrv58-GON-0-FO-1b-m,rna,FCA_GND10288177,Hrv58,female,21.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287601,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287601,sequencing assay,ERX11168211,FCA_GND10287601_S1_L001_R2_001.fastq.gz,FCA_GND10287601_S1_L001_R2_001.fastq.gz,ERR11769376,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769376/FCA_GND10287601_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287601_features.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10288177_and_FCA_GND10287601_features.tsv.gz,female,21.0,week,EFO,UO_0000034,21.0,FCA_GND10287601
6,FCA_GND10287602,ERS16192272,SAMEA114211587,Hrv39-GON-0-FO-1c-m,rna,FCA_GND10288178,Hrv39,female,14.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287602,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287602,sequencing assay,ERX11168212,FCA_GND10287602_S1_L001_I1_001.fastq.gz,FCA_GND10287602_S1_L001_I1_001.fastq.gz,ERR11769384,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769384/FCA_GND10287602_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_features.tsv.gz,,,,,,,,,,female,14.0,week,EFO,UO_0000034,14.0,FCA_GND10287602
7,FCA_GND10287602,ERS16192272,SAMEA114211587,Hrv39-GON-0-FO-1c-m,rna,FCA_GND10288178,Hrv39,female,14.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287602,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287602,sequencing assay,ERX11168212,FCA_GND10287602_S1_L001_R1_001.fastq.gz,FCA_GND10287602_S1_L001_R1_001.fastq.gz,ERR11769384,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769384/FCA_GND10287602_S1_L001_R1_001.fastq.gz,"cell_barcode,umi_barcode",read1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_features.tsv.gz,,,,,,,,,,female,14.0,week,EFO,UO_0000034,14.0,FCA_GND10287602
8,FCA_GND10287602,ERS16192272,SAMEA114211587,Hrv39-GON-0-FO-1c-m,rna,FCA_GND10288178,Hrv39,female,14.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287602,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287602,sequencing assay,ERX11168212,FCA_GND10287602_S1_L001_R2_001.fastq.gz,FCA_GND10287602_S1_L001_R2_001.fastq.gz,ERR11769384,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769384/FCA_GND10287602_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287602_features.tsv.gz,,,,,,,,,,female,14.0,week,EFO,UO_0000034,14.0,FCA_GND10287602
9,FCA_GND10287603,ERS16192273,SAMEA114211588,Hrv65-GON-0-FT-1a-m,rna,FCA_GND10288179,Hrv65,female,20.0,week,EFO,UO_0000034,embryo,normal,gonad,Homo sapiens,organism part,P-MTAB-121422,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121423,"Wellcome Sanger Institute, Cambridge, UK",P-MTAB-121424,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287603,PAIRED,PolyA,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,3 prime end bias,RNA,10x 3’ v2,oligo-dT,10x,none,read1,0.0,16.0,read1,16.0,12.0,read2,0.0,90.0,index1,0,8,P-MTAB-121425,"Wellcome Sanger Institute, Cambridge, UK",FCA_GND10287603,sequencing assay,ERX11168213,FCA_GND10287603_S1_L001_I1_001.fastq.gz,FCA_GND10287603_S1_L001_I1_001.fastq.gz,ERR11769375,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR117/ERR11769375/FCA_GND10287603_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-121426,P-MTAB-121427,FCA_GND10287603_matrix.mtx.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287603_barcodes.tsv.gz,P-MTAB-121426,P-MTAB-121427,FCA_GND10287603_features.tsv.gz,,,,,,,,,,female,20.0,week,EFO,UO_0000034,20.0,FCA_GND10287603
