,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[sex],Characteristics[disease],Characteristics[organism part],Characteristics[individual],Characteristics[developmental stage],Characteristics[assay name],Characteristics[protocol],Material Type,Protocol REF,Performer,Protocol REF.1,Performer.1,Protocol REF.2,Performer.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[ORIENTATION],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer.3,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Protocol REF.4,Protocol REF.5,Derived Array Data File,Protocol REF.6,Protocol REF.7,Derived Array Data File.1,Protocol REF.8,Protocol REF.9,Derived Array Data File.2,Protocol REF.10,Protocol REF.11,Derived Array Data File.3,Factor Value[protocol],Factor Value[age],Unit[time unit].1,Term Source REF.1,Term Accession Number.1,Factor Value[organism part]
0,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS26961360,SAMEA120300199,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477271_S1_L001,sequencing assay,ERX15073144,HCA_BN_F12477271_S1_L001_I1_001.fastq.gz,HCA_BN_F12477271_S1_L001_I1_001.fastq.gz,ERR15668562,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668562/HCA_BN_F12477271_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
1,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS26961360,SAMEA120300199,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477271_S1_L001,sequencing assay,ERX15073144,HCA_BN_F12477271_S1_L001_R1_001.fastq.gz,HCA_BN_F12477271_S1_L001_R1_001.fastq.gz,ERR15668562,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668562/HCA_BN_F12477271_S1_L001_R1_001.fastq.gz,paired,read1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
2,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS26961360,SAMEA120300199,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477271_S1_L001,sequencing assay,ERX15073144,HCA_BN_F12477271_S1_L001_R2_001.fastq.gz,HCA_BN_F12477271_S1_L001_R2_001.fastq.gz,ERR15668562,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668562/HCA_BN_F12477271_S1_L001_R2_001.fastq.gz,cell_barcode,index2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
3,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,ERS26961360,SAMEA120300199,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477271_S1_L001,sequencing assay,ERX15073144,HCA_BN_F12477271_S1_L001_R3_001.fastq.gz,HCA_BN_F12477271_S1_L001_R3_001.fastq.gz,ERR15668562,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668562/HCA_BN_F12477271_S1_L001_R3_001.fastq.gz,paired,read2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
4,HCA_BN_F12482359_and_HCA_BN_F12477271_GEX,ERS26961361,SAMEA120300200,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,GEX,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_GEX,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0.0,91.0,0.0,read1,16.0,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0.0,index1,8.0,10x technology,none,16.0,read1,12.0,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_S1_L001,sequencing assay,ERX15073145,HCA_BN_F12482359_S1_L001_I1_001.fastq.gz,HCA_BN_F12482359_S1_L001_I1_001.fastq.gz,ERR15668646,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668646/HCA_BN_F12482359_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,GEX,8.5,week,EFO,UO_0000034,skull base
5,HCA_BN_F12482359_and_HCA_BN_F12477271_GEX,ERS26961361,SAMEA120300200,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,GEX,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_GEX,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0.0,91.0,0.0,read1,16.0,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0.0,index1,8.0,10x technology,none,16.0,read1,12.0,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_S1_L001,sequencing assay,ERX15073145,HCA_BN_F12482359_S1_L001_R1_001.fastq.gz,HCA_BN_F12482359_S1_L001_R1_001.fastq.gz,ERR15668646,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668646/HCA_BN_F12482359_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,GEX,8.5,week,EFO,UO_0000034,skull base
6,HCA_BN_F12482359_and_HCA_BN_F12477271_GEX,ERS26961361,SAMEA120300200,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482359_and_HCA_BN_F12477271,GEX,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482359_and_HCA_BN_F12477271_GEX,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,5'-3'-3'-5',read2,0.0,91.0,0.0,read1,16.0,3 prime tag,polyA RNA,10x 3' v3,oligo-dT,0.0,index1,8.0,10x technology,none,16.0,read1,12.0,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12482359_S1_L001,sequencing assay,ERX15073145,HCA_BN_F12482359_S1_L001_R2_001.fastq.gz,HCA_BN_F12482359_S1_L001_R2_001.fastq.gz,ERR15668646,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668646/HCA_BN_F12482359_S1_L001_R2_001.fastq.gz,single,read2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482359_and_HCA_BN_F12477271_meta.tar.gz,GEX,8.5,week,EFO,UO_0000034,skull base
7,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS26961362,SAMEA120300201,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477272_S1_L001,sequencing assay,ERX15073146,HCA_BN_F12477272_S1_L001_I1_001.fastq.gz,HCA_BN_F12477272_S1_L001_I1_001.fastq.gz,ERR15668615,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668615/HCA_BN_F12477272_S1_L001_I1_001.fastq.gz,sample_barcode,index1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
8,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS26961362,SAMEA120300201,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477272_S1_L001,sequencing assay,ERX15073146,HCA_BN_F12477272_S1_L001_R1_001.fastq.gz,HCA_BN_F12477272_S1_L001_R1_001.fastq.gz,ERR15668615,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668615/HCA_BN_F12477272_S1_L001_R1_001.fastq.gz,paired,read1,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
9,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,ERS26961362,SAMEA120300201,Homo sapiens,8.5,week,EFO,UO_0000034,unknown,normal,skull base,2361,embryo stage,HCA_BN_F12482360_and_HCA_BN_F12477272,ATAC,organism part,P-MTAB-146560,Wellcome Sanger Institute,P-MTAB-146561,Wellcome Sanger Institute,P-MTAB-146562,Wellcome Sanger Institute,HCA_BN_F12482360_and_HCA_BN_F12477272_ATAC,PAIRED,other,GENOMIC SINGLE CELL,not applicable,ATAC-seq,,,,,,,,not applicable,genomic DNA,scATAC-seq,,,,,,none,,,,P-MTAB-146563,Wellcome Sanger Institute,HCA_BN_F12477272_S1_L001,sequencing assay,ERX15073146,HCA_BN_F12477272_S1_L001_R2_001.fastq.gz,HCA_BN_F12477272_S1_L001_R2_001.fastq.gz,ERR15668615,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR156/ERR15668615/HCA_BN_F12477272_S1_L001_R2_001.fastq.gz,cell_barcode,index2,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta_atac.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_count_afterSoupX.tar.gz,P-MTAB-146564,P-MTAB-146565,HCA_BN_F12482360_and_HCA_BN_F12477272_meta.tar.gz,ATAC,8.5,week,EFO,UO_0000034,skull base
