,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[individual],Characteristics[sex],Characteristics[developmental stage],Characteristics[organism part],Characteristics[disease],Characteristics[clinical information],Characteristics[FACS marker],Characteristics[run],Comment[single cell isolation],Comment[library construction],Comment[input molecule],Comment[primer],Comment[end bias],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[ENA_RUN],Comment[BAM_URI],Comment[FASTQ_URI],Comment[FASTQ_URI].1,Comment[FASTQ_URI].2,Comment[SPOT_LENGTH],Comment[READ_INDEX_1_BASE_COORD],Protocol REF.4,Derived Array Data File,Comment [Derived ArrayExpress FTP file],Protocol REF.5,Derived Array Data File.1,Comment [Derived ArrayExpress FTP file].1,Comment[umi barcode read],Comment[umi barcode offset],Comment[umi barcode size],Comment[cell barcode read],Comment[cell barcode offset],Comment[cell barcode size],Comment[cDNA read],Comment[cDNA read offset],Comment[cDNA read size],Comment[sample barcode read],Comment[sample barcode offset],Comment[sample barcode size],Comment[read1 file],Comment[read2 file],Comment[index1 file],Factor Value[organism part],Factor Value[FACS marker]
0,FCA7167219,ERS2657608,SAMEA4837741,Homo sapiens,D6,female,adult,decidua,normal,6 to 12 weeks gestation,CD45+,FCA7167219,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167219,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167219,sequencing assay,ERX2756708,FCA7167219.bam,ERR2743635,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743635/FCA7167219.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167219_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167219_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167219_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167219_R1.fq.gz,FCA7167219_R2.fq.gz,FCA7167219_I1.fq.gz,decidua,CD45+
1,FCA7167221,ERS2657610,SAMEA4837743,Homo sapiens,D7,female,adult,decidua,normal,6 to 12 weeks gestation,CD45+,FCA7167221,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167221,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167221,sequencing assay,ERX2756710,FCA7167221.bam,ERR2743637,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743637/FCA7167221.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167221_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167221_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167221_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167221_R1.fq.gz,FCA7167221_R2.fq.gz,FCA7167221_I1.fq.gz,decidua,CD45+
2,FCA7167222,ERS2657611,SAMEA4837744,Homo sapiens,D7,female,adult,decidua,normal,6 to 12 weeks gestation,CD45-,FCA7167222,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167222,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167222,sequencing assay,ERX2756711,FCA7167222.bam,ERR2743638,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743638/FCA7167222.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167222_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167222_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167222_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167222_R1.fq.gz,FCA7167222_R2.fq.gz,FCA7167222_I1.fq.gz,decidua,CD45-
3,FCA7167223,ERS2657612,SAMEA4837745,Homo sapiens,D6,female,adult,decidua,normal,6 to 12 weeks gestation,CD45+,FCA7167223,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167223,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167223,sequencing assay,ERX2756712,FCA7167223.bam,ERR2743639,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743639/FCA7167223.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167223_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167223_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167223_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167223_R1.fq.gz,FCA7167223_R2.fq.gz,FCA7167223_I1.fq.gz,decidua,CD45+
4,FCA7167224,ERS2657613,SAMEA4837746,Homo sapiens,D6,female,adult,decidua,normal,6 to 12 weeks gestation,CD45-,FCA7167224,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167224,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167224,sequencing assay,ERX2756713,FCA7167224.bam,ERR2743640,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743640/FCA7167224.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167224_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167224_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167224_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167224_R1.fq.gz,FCA7167224_R2.fq.gz,FCA7167224_I1.fq.gz,decidua,CD45-
5,FCA7167226,ERS2657614,SAMEA4837747,Homo sapiens,D7,female,adult,decidua,normal,6 to 12 weeks gestation,CD45-,FCA7167226,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167226,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167226,sequencing assay,ERX2756714,FCA7167226.bam,ERR2743641,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743641/FCA7167226.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167226_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167226_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167226_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167226_R1.fq.gz,FCA7167226_R2.fq.gz,FCA7167226_I1.fq.gz,decidua,CD45-
6,FCA7167230,ERS2657618,SAMEA4837751,Homo sapiens,D7,female,adult,blood,normal,6 to 12 weeks gestation,PB,FCA7167230,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167230,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167230,sequencing assay,ERX2756718,FCA7167230.bam,ERR2743645,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743645/FCA7167230.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167230_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167230_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167230_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167230_R1.fq.gz,FCA7167230_R2.fq.gz,FCA7167230_I1.fq.gz,blood,PB
7,FCA7167231,ERS2657619,SAMEA4837752,Homo sapiens,D6,female,adult,blood,normal,6 to 12 weeks gestation,PB,FCA7167231,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167231,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167231,sequencing assay,ERX2756719,FCA7167231.bam,ERR2743646,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743646/FCA7167231.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167231_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167231_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167231_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167231_R1.fq.gz,FCA7167231_R2.fq.gz,FCA7167231_I1.fq.gz,blood,PB
8,FCA7167232,ERS2657620,SAMEA4837753,Homo sapiens,D6,female,adult,blood,normal,6 to 12 weeks gestation,PB,FCA7167232,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7167232,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7167232,sequencing assay,ERX2756720,FCA7167232.bam,ERR2743647,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743647/FCA7167232.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167232_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167232_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7167232_I1.fq.gz,946,474,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7167232_R1.fq.gz,FCA7167232_R2.fq.gz,FCA7167232_I1.fq.gz,blood,PB
9,FCA7196218,ERS2657621,SAMEA4837754,Homo sapiens,D8,female,adult,decidua,normal,6 to 12 weeks gestation,CD45+,FCA7196218,10x,10xV2,polyA RNA,oligo-dT,3 prime tag,cell,P-MTAB-73444,P-MTAB-73445,P-MTAB-73446,FCA7196218,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,666,5,P-MTAB-73447,Sanger institute,FCA7196218,sequencing assay,ERX2756721,FCA7196218.bam,ERR2743648,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2743648/FCA7196218.bam,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7196218_R1.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7196218_R2.fq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/FCA7196218_I1.fq.gz,948,475,P-MTAB-73448,raw_data_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.1.zip,P-MTAB-73448,meta_10x.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6701/E-MTAB-6701.processed.2.zip,read1,16,10,read1,0,16,read2,0,98,index1,0,8,FCA7196218_R1.fq.gz,FCA7196218_R2.fq.gz,FCA7196218_I1.fq.gz,decidua,CD45+
