,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[individual],Characteristics[developmental stage],Characteristics[post conception age],Unit[time unit],Characteristics[sex],Characteristics[organism part],Characteristics[sampling site],Characteristics[disease],Characteristics[growth condition],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer,Assay Name,Comment[technical replicate group],Technology Type,Comment[ENA_EXPERIMENT],Comment[read1 file],Comment[FASTQ_URI],Comment[read2 file],Comment[FASTQ_URI].1,Comment[index1 file],Comment[FASTQ_URI].2,Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[BAM_URI],Comment[Array Data File],Protocol REF.4,Protocol REF.5,Derived Array Data File,Comment [Derived ArrayExpress FTP file],Protocol REF.6,Protocol REF.7,Derived Array Data File.1,Comment [Derived ArrayExpress FTP file].1,Factor Value[stimulus],Factor Value[time],Unit[time unit].1,Factor Value[organism part],Factor Value[sampling site],Factor Value[growth condition]
0,Airway_11.5,ERS4467514,SAMEA6739629,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,middle airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Airway_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-Airway_S23_L001,group 4,sequencing assay,ERX4029225,HT234-Airway_S23_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L001_R1_001.fastq.gz,HT234-Airway_S23_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L001_R2_001.fastq.gz,HT234-Airway_S23_L001_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L001_I1_001.fastq.gz,HT234-Airway_S23_L001.bam,HT234-Airway_S23_L001.bam,ERR4027858,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027858/HT234-Airway_S23_L001.bam,9c227403ceadd525fdc187cbd51b186d,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,middle airway,in vivo
1,Airway_11.5,ERS4467514,SAMEA6739629,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,middle airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Airway_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-Airway_S23_L002,group 4,sequencing assay,ERX4029225,HT234-Airway_S23_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L002_R1_001.fastq.gz,HT234-Airway_S23_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L002_R2_001.fastq.gz,HT234-Airway_S23_L002_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L002_I1_001.fastq.gz,HT234-Airway_S23_L002.bam,HT234-Airway_S23_L002.bam,ERR4027859,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027859/HT234-Airway_S23_L002.bam,6548b6ed4f669fdd9fef58d1c4bfec67,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,middle airway,in vivo
2,Airway_11.5,ERS4467514,SAMEA6739629,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,middle airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Airway_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-Airway_S23_L003,group 4,sequencing assay,ERX4029225,HT234-Airway_S23_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L003_R1_001.fastq.gz,HT234-Airway_S23_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L003_R2_001.fastq.gz,HT234-Airway_S23_L003_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L003_I1_001.fastq.gz,HT234-Airway_S23_L003.bam,HT234-Airway_S23_L003.bam,ERR4027860,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027860/HT234-Airway_S23_L003.bam,70158e9852d0f0e28e3e024bb913e9c2,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,middle airway,in vivo
3,Airway_11.5,ERS4467514,SAMEA6739629,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,middle airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Airway_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-Airway_S23_L004,group 4,sequencing assay,ERX4029225,HT234-Airway_S23_L004_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L004_R1_001.fastq.gz,HT234-Airway_S23_L004_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L004_R2_001.fastq.gz,HT234-Airway_S23_L004_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-Airway_S23_L004_I1_001.fastq.gz,HT234-Airway_S23_L004.bam,HT234-Airway_S23_L004.bam,ERR4027861,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027861/HT234-Airway_S23_L004.bam,e4bdf4f9b557c80cbce5ec080ed45895,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,middle airway,in vivo
4,Distal_11.5,ERS4467515,SAMEA6739630,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,distal airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Distal_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-DistalLung_S24_L001,group 7,sequencing assay,ERX4029226,HT234-DistalLung_S24_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L001_R1_001.fastq.gz,HT234-DistalLung_S24_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L001_R2_001.fastq.gz,HT234-DistalLung_S24_L001_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L001_I1_001.fastq.gz,HT234-DistalLung_S24_L001.bam,HT234-DistalLung_S24_L001.bam,ERR4027862,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027862/HT234-DistalLung_S24_L001.bam,aa87356cd71f6eddbab95387f24a5322,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,distal airway,in vivo
5,Distal_11.5,ERS4467515,SAMEA6739630,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,distal airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Distal_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-DistalLung_S24_L002,group 7,sequencing assay,ERX4029226,HT234-DistalLung_S24_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L002_R1_001.fastq.gz,HT234-DistalLung_S24_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L002_R2_001.fastq.gz,HT234-DistalLung_S24_L002_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L002_I1_001.fastq.gz,HT234-DistalLung_S24_L002.bam,HT234-DistalLung_S24_L002.bam,ERR4027863,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027863/HT234-DistalLung_S24_L002.bam,169bac56862855719814d878d880d59a,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,distal airway,in vivo
6,Distal_11.5,ERS4467515,SAMEA6739630,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,distal airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Distal_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-DistalLung_S24_L003,group 7,sequencing assay,ERX4029226,HT234-DistalLung_S24_L003_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L003_R1_001.fastq.gz,HT234-DistalLung_S24_L003_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L003_R2_001.fastq.gz,HT234-DistalLung_S24_L003_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L003_I1_001.fastq.gz,HT234-DistalLung_S24_L003.bam,HT234-DistalLung_S24_L003.bam,ERR4027864,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027864/HT234-DistalLung_S24_L003.bam,2e5ef2855652cb99a8a72226611b2e04,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,distal airway,in vivo
7,Distal_11.5,ERS4467515,SAMEA6739630,Homo sapiens,individual 1,late embryo,11.5,week,male,respiratory airway,distal airway,normal,in vivo,organism part,P-MTAB-88688,P-MTAB-88692,P-MTAB-88693,Distal_11.5,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT234-DistalLung_S24_L004,group 7,sequencing assay,ERX4029226,HT234-DistalLung_S24_L004_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L004_R1_001.fastq.gz,HT234-DistalLung_S24_L004_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L004_R2_001.fastq.gz,HT234-DistalLung_S24_L004_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT234-DistalLung_S24_L004_I1_001.fastq.gz,HT234-DistalLung_S24_L004.bam,HT234-DistalLung_S24_L004.bam,ERR4027865,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027865/HT234-DistalLung_S24_L004.bam,c11285d4c510868f892ff9e65e5c921d,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_fetal_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,none,not applicable,  ,respiratory airway,distal airway,in vivo
8,Day_0,ERS4467516,SAMEA6739631,Homo sapiens,not applicable,late embryo,12.0,week,male,lung bud,bud tip,normal,organoid culture,organoid,P-MTAB-88688,P-MTAB-88689,P-MTAB-88690,Day_0,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT-145-3F_S1_L001,group 1,sequencing assay,ERX4029227,HT-145-3F_S1_L001_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT-145-3F_S1_L001_R1_001.fastq.gz,HT-145-3F_S1_L001_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT-145-3F_S1_L001_R2_001.fastq.gz,HT-145-3F_S1_L001_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT-145-3F_S1_L001_I1_001.fastq.gz,HT-145-3F_S1_L001.bam,HT-145-3F_S1_L001.bam,ERR4027866,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027866/HT-145-3F_S1_L001.bam,57428f5d9914b4f3b62792f34e4e7c70,P-MTAB-88694,P-MTAB-88695,Table_d0_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_d0_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,BMP4 (100 nanogram per milliliter); TGFb1 (100 nanogram per milliliter),0,day,lung bud,bud tip,organoid culture
9,Day_0,ERS4467516,SAMEA6739631,Homo sapiens,not applicable,late embryo,12.0,week,male,lung bud,bud tip,normal,organoid culture,organoid,P-MTAB-88688,P-MTAB-88689,P-MTAB-88690,Day_0,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,RNA-Seq,450,20,read 2,0,98,0,read 1,16,3 prime tag,polyA RNA,10xV2,oligo-dT,0,index 1,8,10x,16,read 1,10,P-MTAB-88691,University of Michigan DNA Sequencing core,HT-145-3F_S1_L002,group 1,sequencing assay,ERX4029227,HT-145-3F_S1_L002_R1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT-145-3F_S1_L002_R1_001.fastq.gz,HT-145-3F_S1_L002_R2_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT-145-3F_S1_L002_R2_001.fastq.gz,HT-145-3F_S1_L002_I1_001.fastq.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/HT-145-3F_S1_L002_I1_001.fastq.gz,HT-145-3F_S1_L002.bam,HT-145-3F_S1_L002.bam,ERR4027867,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR402/ERR4027867/HT-145-3F_S1_L002.bam,af1fa69e66edd84b79980136a029f723,P-MTAB-88694,P-MTAB-88695,Table_d0_cell_pass_filtering_meta_data.txt,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.2.zip,P-MTAB-88694,P-MTAB-88695,Table_d0_all_cell_pass_filtering_count.txt.gz,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8221/E-MTAB-8221.processed.1.zip,BMP4 (100 nanogram per milliliter); TGFb1 (100 nanogram per milliliter),0,day,lung bud,bud tip,organoid culture
