,Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[developmental stage],Characteristics[individual],Characteristics[organism part],Material Type,Protocol REF,Performer,Protocol REF.1,Performer.1,Protocol REF.2,Performer.2,Extract Name,Material Type.1,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[ORIENTATION],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.3,Performer.3,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Protocol REF.4,Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Factor Value[organism part],Factor Value[single cell identifier]
0,FCA_gut8015057,ERS23679606,SAMEA117739730,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015057,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015057_S1_L001,sequencing assay,ERX14049179,P-MTAB-151496,FCA_gut8015057_S1_L001_I1_001.fastq.gz,FCA_gut8015057_S1_L001_I1_001.fastq.gz,ERR14648061,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648061/FCA_gut8015057_S1_L001_I1_001.fastq.gz,sample_barcode,index1,small intestine,F78-FPIL-0-SC-1
1,FCA_gut8015057,ERS23679606,SAMEA117739730,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015057,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015057_S1_L001,sequencing assay,ERX14049179,P-MTAB-151496,FCA_gut8015057_S1_L001_R1_001.fastq.gz,FCA_gut8015057_S1_L001_R1_001.fastq.gz,ERR14648061,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648061/FCA_gut8015057_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,small intestine,F78-FPIL-0-SC-1
2,FCA_gut8015057,ERS23679606,SAMEA117739730,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015057,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015057_S1_L001,sequencing assay,ERX14049179,P-MTAB-151496,FCA_gut8015057_S1_L001_R2_001.fastq.gz,FCA_gut8015057_S1_L001_R2_001.fastq.gz,ERR14648061,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648061/FCA_gut8015057_S1_L001_R2_001.fastq.gz,single,read2,small intestine,F78-FPIL-0-SC-1
3,FCA_gut8015058,ERS23679607,SAMEA117739731,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015058,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015058_S1_L001,sequencing assay,ERX14049180,P-MTAB-151496,FCA_gut8015058_S1_L001_I1_001.fastq.gz,FCA_gut8015058_S1_L001_I1_001.fastq.gz,ERR14648071,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648071/FCA_gut8015058_S1_L001_I1_001.fastq.gz,sample_barcode,index1,small intestine,F78-FMIL-0-SC-1
4,FCA_gut8015058,ERS23679607,SAMEA117739731,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015058,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015058_S1_L001,sequencing assay,ERX14049180,P-MTAB-151496,FCA_gut8015058_S1_L001_R1_001.fastq.gz,FCA_gut8015058_S1_L001_R1_001.fastq.gz,ERR14648071,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648071/FCA_gut8015058_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,small intestine,F78-FMIL-0-SC-1
5,FCA_gut8015058,ERS23679607,SAMEA117739731,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015058,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015058_S1_L001,sequencing assay,ERX14049180,P-MTAB-151496,FCA_gut8015058_S1_L001_R2_001.fastq.gz,FCA_gut8015058_S1_L001_R2_001.fastq.gz,ERR14648071,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648071/FCA_gut8015058_S1_L001_R2_001.fastq.gz,single,read2,small intestine,F78-FMIL-0-SC-1
6,FCA_gut8015059,ERS23679608,SAMEA117739732,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015059,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015059_S1_L001,sequencing assay,ERX14049181,P-MTAB-151496,FCA_gut8015059_S1_L001_I1_001.fastq.gz,FCA_gut8015059_S1_L001_I1_001.fastq.gz,ERR14648058,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648058/FCA_gut8015059_S1_L001_I1_001.fastq.gz,sample_barcode,index1,small intestine,F78-FTIL-0-SC-1
7,FCA_gut8015059,ERS23679608,SAMEA117739732,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015059,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015059_S1_L001,sequencing assay,ERX14049181,P-MTAB-151496,FCA_gut8015059_S1_L001_R1_001.fastq.gz,FCA_gut8015059_S1_L001_R1_001.fastq.gz,ERR14648058,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648058/FCA_gut8015059_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,small intestine,F78-FTIL-0-SC-1
8,FCA_gut8015059,ERS23679608,SAMEA117739732,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,small intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015059,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015059_S1_L001,sequencing assay,ERX14049181,P-MTAB-151496,FCA_gut8015059_S1_L001_R2_001.fastq.gz,FCA_gut8015059_S1_L001_R2_001.fastq.gz,ERR14648058,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648058/FCA_gut8015059_S1_L001_R2_001.fastq.gz,single,read2,small intestine,F78-FTIL-0-SC-1
9,FCA_gut8015060,ERS23679609,SAMEA117739733,Homo sapiens,17.0,week,EFO,UO_0000034,embryo,F78,large intestine,organism part,P-MTAB-151493,"Rasa Elmentaite, Kylie James",P-MTAB-151494,"Rasa Elmentaite, Kylie James",P-MTAB-151495,"Lira Mamanova, Liam Bolt",FCA_gut8015060,RNA,PAIRED,Oligo-dT,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,350,50,5'-3'-3'-5',read2,0,98,0,read1,16,5 prime tag,polyA RNA,10x 5' v2,oligo-dT,0,index1,8,10x technology,none,16,read1,10,P-MTAB-151496,WSI Sequencing Pipelines,FCA_gut8015060_S1_L001,sequencing assay,ERX14049182,P-MTAB-151496,FCA_gut8015060_S1_L001_I1_001.fastq.gz,FCA_gut8015060_S1_L001_I1_001.fastq.gz,ERR14648074,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14648074/FCA_gut8015060_S1_L001_I1_001.fastq.gz,sample_barcode,index1,large intestine,F78-FLI-0-SC-1
