,EGAD,EGAF,EGAX,EGAN,AUTHOR_ID,LIBRARY_TYPE,DESCRIPTION
0,EGAD00001009801,EGAF00007823589,EGAX00003019787,EGAN00002947938,SB_200532_10032964,Chromium single cell 3 prime v3,
1,EGAD00001009801,EGAF00007823590,EGAX00003019788,EGAN00002947939,SB_200532_10032965,Chromium single cell 3 prime v3,
2,EGAD00001009801,EGAF00007823591,EGAX00003019789,EGAN00002947941,SB_200532_10032966,Chromium single cell 3 prime v3,
3,EGAD00001009801,EGAF00007823592,EGAX00003019790,EGAN00002947942,SB_200532_10032967,Chromium single cell 3 prime v3,
4,EGAD00001009801,EGAF00007823593,EGAX00003019791,EGAN00002947943,SB_200532_10032968,Chromium single cell 3 prime v3,
5,EGAD00001009801,EGAF00007823594,EGAX00003019792,EGAN00002947944,SB_200532_10032969,Chromium single cell 3 prime v3,
6,EGAD00001009801,EGAF00007823595,EGAX00003019793,EGAN00003168629,SB_200532_10297922,Chromium single cell 3 prime v3,
7,EGAD00001009801,EGAF00007823596,EGAX00003019802,EGAN00003168642,SB_200532_10297931,Chromium single cell 3 prime v3,15837
8,EGAD00001009801,EGAF00007823597,EGAX00003019803,EGAN00003168643,SB_200532_10297932,Chromium single cell 3 prime v3,15837
9,EGAD00001009801,EGAF00007823598,EGAX00003019804,EGAN00003168646,SB_200532_10297933,Chromium single cell 3 prime v3,15837
10,EGAD00001009801,EGAF00007823599,EGAX00003019794,EGAN00003168630,SB_200532_10297923,Chromium single cell 3 prime v3,
11,EGAD00001009801,EGAF00007823600,EGAX00003019795,EGAN00003168631,SB_200532_10297924,Chromium single cell 3 prime v3,
12,EGAD00001009801,EGAF00007823601,EGAX00003019796,EGAN00003168632,SB_200532_10297925,Chromium single cell 3 prime v3,
13,EGAD00001009801,EGAF00007823602,EGAX00003019797,EGAN00003168633,SB_200532_10297926,Chromium single cell 3 prime v3,15837
14,EGAD00001009801,EGAF00007823603,EGAX00003019798,EGAN00003168635,SB_200532_10297927,Chromium single cell 3 prime v3,
15,EGAD00001009801,EGAF00007823604,EGAX00003019799,EGAN00003168636,SB_200532_10297928,Chromium single cell 3 prime v3,15837
16,EGAD00001009801,EGAF00007823605,EGAX00003019800,EGAN00003168638,SB_200532_10297929,Chromium single cell 3 prime v3,15837
17,EGAD00001009801,EGAF00007823606,EGAX00003019801,EGAN00003168640,SB_200532_10297930,Chromium single cell 3 prime v3,15837
18,EGAD00001009801,EGAF00007823607,EGAX00003019805,EGAN00003325271,SB_200532_10841316,Chromium single cell 3 prime v3,
19,EGAD00001009801,EGAF00007823608,EGAX00003019806,EGAN00003325272,SB_200532_10841317,Chromium single cell 3 prime v3,
20,EGAD00001009801,EGAF00007823609,EGAX00003019807,EGAN00003325273,SB_200532_10841318,Chromium single cell 3 prime v3,
21,EGAD00001009801,EGAF00007823610,EGAX00003019808,EGAN00003325274,SB_200532_10841319,Chromium single cell 3 prime v3,
22,EGAD00001009801,EGAF00007823611,EGAX00003019809,EGAN00003325275,SB_200532_10841320,Chromium single cell 3 prime v3,
23,EGAD00001009801,EGAF00007823612,EGAX00003019810,EGAN00003325277,SB_200532_10841321,Chromium single cell 3 prime v3,
24,EGAD00001009801,EGAF00007823613,EGAX00003019811,EGAN00003325276,SB_200532_10841322,Chromium single cell 3 prime v3,
25,EGAD00001009801,EGAF00007823614,EGAX00003019812,EGAN00003325278,SB_200532_10841323,Chromium single cell 3 prime v3,
26,EGAD00001009801,EGAF00007823615,EGAX00003019813,EGAN00003261942,SB_200532_10621989,Chromium single cell 3 prime v3,
27,EGAD00001009801,EGAF00007823616,EGAX00003019814,EGAN00003261943,SB_200532_10621990,Chromium single cell 3 prime v3,
28,EGAD00001009801,EGAF00007823617,EGAX00003019815,EGAN00003261945,SB_200532_10621991,Chromium single cell 3 prime v3,
29,EGAD00001009801,EGAF00007823618,EGAX00003019816,EGAN00003261944,SB_200532_10621992,Chromium single cell 3 prime v3,
30,EGAD00001009801,EGAF00007823619,EGAX00003019817,EGAN00003328225,SB_200532_10863985,Chromium single cell 3 prime v3,
31,EGAD00001009801,EGAF00007823620,EGAX00003019825,EGAN00003328234,SB_200532_10863994,Chromium single cell 3 prime v3,
32,EGAD00001009801,EGAF00007823621,EGAX00003019826,EGAN00003328236,SB_200532_10863995,Chromium single cell 3 prime v3,
33,EGAD00001009801,EGAF00007823622,EGAX00003019818,EGAN00003328227,SB_200532_10863986,Chromium single cell 3 prime v3,
34,EGAD00001009801,EGAF00007823623,EGAX00003019819,EGAN00003328230,SB_200532_10863987,Chromium single cell 3 prime v3,
35,EGAD00001009801,EGAF00007823624,EGAX00003019820,EGAN00003328226,SB_200532_10863988,Chromium single cell 3 prime v3,
36,EGAD00001009801,EGAF00007823625,EGAX00003019821,EGAN00003328228,SB_200532_10863989,Chromium single cell 3 prime v3,
37,EGAD00001009801,EGAF00007823626,EGAX00003019822,EGAN00003328231,SB_200532_10863991,Chromium single cell 3 prime v3,
38,EGAD00001009801,EGAF00007823627,EGAX00003019823,EGAN00003328232,SB_200532_10863992,Chromium single cell 3 prime v3,
39,EGAD00001009801,EGAF00007823628,EGAX00003019824,EGAN00003328233,SB_200532_10863993,Chromium single cell 3 prime v3,
40,EGAD00001009801,EGAF00007823629,EGAX00003019827,EGAN00003328225,SB_200532_10863985,Chromium single cell 3 prime v3,
41,EGAD00001009801,EGAF00007823630,EGAX00003019835,EGAN00003328234,SB_200532_10863994,Chromium single cell 3 prime v3,
42,EGAD00001009801,EGAF00007823631,EGAX00003019836,EGAN00003328236,SB_200532_10863995,Chromium single cell 3 prime v3,
43,EGAD00001009801,EGAF00007823632,EGAX00003019828,EGAN00003328227,SB_200532_10863986,Chromium single cell 3 prime v3,
44,EGAD00001009801,EGAF00007823633,EGAX00003019829,EGAN00003328230,SB_200532_10863987,Chromium single cell 3 prime v3,
45,EGAD00001009801,EGAF00007823634,EGAX00003019830,EGAN00003328226,SB_200532_10863988,Chromium single cell 3 prime v3,
46,EGAD00001009801,EGAF00007823635,EGAX00003019831,EGAN00003328228,SB_200532_10863989,Chromium single cell 3 prime v3,
47,EGAD00001009801,EGAF00007823636,EGAX00003019832,EGAN00003328231,SB_200532_10863991,Chromium single cell 3 prime v3,
48,EGAD00001009801,EGAF00007823637,EGAX00003019833,EGAN00003328232,SB_200532_10863992,Chromium single cell 3 prime v3,
49,EGAD00001009801,EGAF00007823638,EGAX00003019834,EGAN00003328233,SB_200532_10863993,Chromium single cell 3 prime v3,
50,EGAD00001009801,EGAF00007823639,EGAX00003019837,EGAN00003366220,SB_200532_11254462,Chromium single cell 3 prime v3,
51,EGAD00001009801,EGAF00007823640,EGAX00003019846,EGAN00003366225,SB_200532_11254467,Chromium single cell 3 prime v3,
52,EGAD00001009801,EGAF00007823641,EGAX00003019838,EGAN00003366216,SB_200532_11254458,Chromium single cell 3 prime v3,
53,EGAD00001009801,EGAF00007823642,EGAX00003019839,EGAN00003366217,SB_200532_11254459,Chromium single cell 3 prime v3,
54,EGAD00001009801,EGAF00007823643,EGAX00003019840,EGAN00003366218,SB_200532_11254460,Chromium single cell 3 prime v3,
55,EGAD00001009801,EGAF00007823644,EGAX00003019841,EGAN00003366219,SB_200532_11254461,Chromium single cell 3 prime v3,
56,EGAD00001009801,EGAF00007823645,EGAX00003019842,EGAN00003366221,SB_200532_11254463,Chromium single cell 3 prime v3,
57,EGAD00001009801,EGAF00007823646,EGAX00003019843,EGAN00003366222,SB_200532_11254464,Chromium single cell 3 prime v3,
58,EGAD00001009801,EGAF00007823647,EGAX00003019844,EGAN00003366223,SB_200532_11254465,Chromium single cell 3 prime v3,
59,EGAD00001009801,EGAF00007823648,EGAX00003019845,EGAN00003366224,SB_200532_11254466,Chromium single cell 3 prime v3,
60,EGAD00001009801,EGAF00007823649,EGAX00003019847,EGAN00003366220,SB_200532_11254462,Chromium single cell 3 prime v3,
61,EGAD00001009801,EGAF00007823650,EGAX00003019856,EGAN00003366225,SB_200532_11254467,Chromium single cell 3 prime v3,
62,EGAD00001009801,EGAF00007823651,EGAX00003019848,EGAN00003366216,SB_200532_11254458,Chromium single cell 3 prime v3,
63,EGAD00001009801,EGAF00007823652,EGAX00003019849,EGAN00003366217,SB_200532_11254459,Chromium single cell 3 prime v3,
64,EGAD00001009801,EGAF00007823653,EGAX00003019850,EGAN00003366218,SB_200532_11254460,Chromium single cell 3 prime v3,
65,EGAD00001009801,EGAF00007823654,EGAX00003019851,EGAN00003366219,SB_200532_11254461,Chromium single cell 3 prime v3,
66,EGAD00001009801,EGAF00007823655,EGAX00003019852,EGAN00003366221,SB_200532_11254463,Chromium single cell 3 prime v3,
67,EGAD00001009801,EGAF00007823656,EGAX00003019853,EGAN00003366222,SB_200532_11254464,Chromium single cell 3 prime v3,
68,EGAD00001009801,EGAF00007823657,EGAX00003019854,EGAN00003366223,SB_200532_11254465,Chromium single cell 3 prime v3,
69,EGAD00001009801,EGAF00007823658,EGAX00003019855,EGAN00003366224,SB_200532_11254466,Chromium single cell 3 prime v3,
70,EGAD00001009801,EGAF00007823659,EGAX00003019857,EGAN00003456446,SB_200532_12081777,Chromium Visium,
71,EGAD00001009801,EGAF00007823660,EGAX00003019858,EGAN00003456447,SB_200532_12081778,Chromium Visium,
72,EGAD00001009801,EGAF00007823661,EGAX00003019859,EGAN00003456449,SB_200532_12081780,Chromium Visium,
73,EGAD00001009801,EGAF00007823662,EGAX00003019860,EGAN00003456442,SB_200532_12081773,Chromium Visium,
74,EGAD00001009801,EGAF00007823663,EGAX00003019861,EGAN00003456443,SB_200532_12081774,Chromium Visium,
75,EGAD00001009801,EGAF00007823664,EGAX00003019862,EGAN00003456445,SB_200532_12081775,Chromium Visium,
