,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
0,GSM4231309,Day 45 Organoid,GSM4231309,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: hg19 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672646 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433708,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231309/suppl/GSM4231309_ORG_D45_filtered_feature_bc_matrix.tar.gz,GSE142526,0
1,GSM4231310,Day60_1 Organoid,GSM4231310,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: hg19 | cellranger version: 2.0.2 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672645 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433709,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231310/suppl/GSM4231310_ORG_D60a_filtered_feature_bc_matrix.tar.gz,GSE142526,0
2,GSM4231311,Day60_2 Organoid,GSM4231311,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: GRCh38 | cellranger version: 2.1.1 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672644 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433710,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231311/suppl/GSM4231311_ORG_D60b_filtered_feature_bc_matrix.tar.gz,GSE142526,0
3,GSM4231312,Day90_1 Organoid,GSM4231312,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: hg19 | cellranger version: 2.0.2 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672643 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433711,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231312/suppl/GSM4231312_ORG_D90_filtered_feature_bc_matrix.tar.gz,GSE142526,0
4,GSM4231313,Day104_2 Organoid,GSM4231313,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: GRCh38 | cellranger version: 2.1.1 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672642 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433712,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231313/suppl/GSM4231313_ORG_D104_filtered_feature_bc_matrix.tar.gz,GSE142526,0
5,GSM4231314,Day110_3 Organoid,GSM4231314,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: GRCh38 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v3,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672641 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433713,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231314/suppl/GSM4231314_ORG_D110_filtered_feature_bc_matrix.tar.gz,GSE142526,0
6,GSM4231315,Day 205 Organoid,GSM4231315,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: hg19 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v3,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672640 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433714,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231315/suppl/GSM4231315_ORG_D205_filtered_feature_bc_matrix.tar.gz,GSE142526,0
7,GSM4231316,D59_1 Fetal,GSM4231316,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v1,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672639 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433715,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231316/suppl/GSM4231316_D59_fetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
8,GSM4231317,D80P Fetal,GSM4231317,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672638 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433716,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231317/suppl/GSM4231317_D80P_fetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
9,GSM4231318,D80P_2 Fetal,GSM4231318,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 2.1.1 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672637 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433717,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231318/suppl/GSM4231318_D80P2fetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
10,GSM4231319,D80C Fetal,GSM4231319,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672660 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433718,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231319/suppl/GSM4231319_D80Cfetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
