,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,description,supplementary_file_2
0,GSM4968831,aorta-gonad-mesonephros 4.5 week,GSM4968831,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,aorta-gonad-mesonephros,Homo sapiens,9606,time: 4wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043300 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665021,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968831/suppl/GSM4968831_Aorta-4wk-658.csv.gz,GSE162950,0,,
1,GSM4968832,aorta-gonad-mesonephros 5 week,GSM4968832,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,aorta-gonad-mesonephros,Homo sapiens,9606,time: 5wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043299 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665022,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968832/suppl/GSM4968832_Aorta-5wk-555.csv.gz,GSE162950,0,,
2,GSM4968833,aorta-gonad-mesonephros 5.5 week,GSM4968833,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,aorta-gonad-mesonephros,Homo sapiens,9606,time: 5wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043298 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665023,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968833/suppl/GSM4968833_Aorta-5wk-575.csv.gz,GSE162950,0,,
3,GSM4968834,aorta-gonad-mesonephros 6 week,GSM4968834,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,aorta-gonad-mesonephros,Homo sapiens,9606,time: 6wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043297 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665024,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968834/suppl/GSM4968834_Aorta-6wk-563.csv.gz,GSE162950,0,,
4,GSM4968835,cord 4.5 week,GSM4968835,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,cord,Homo sapiens,9606,time: 4wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043296 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665025,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968835/suppl/GSM4968835_Cord-4wk-658.csv.gz,GSE162950,0,,
5,GSM4968836,cord blood 40 week,GSM4968836,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,cord blood,Homo sapiens,9606,time: 40wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043295 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665026,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968836/suppl/GSM4968836_CordBlood-40wk-201.csv.gz,GSE162950,0,,
6,GSM4968837,head 4.5 week,GSM4968837,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,head,Homo sapiens,9606,time: 4wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043294 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665027,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968837/suppl/GSM4968837_Head-4wk-658.csv.gz,GSE162950,0,,
7,GSM4968838,heart 4.5 week,GSM4968838,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,heart,Homo sapiens,9606,time: 4wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043293 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665028,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968838/suppl/GSM4968838_Heart-4wk-658.csv.gz,GSE162950,0,,
8,GSM4968839,liver 11 week,GSM4968839,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,liver,Homo sapiens,9606,time: 11wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043291 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665029,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968839/suppl/GSM4968839_Liver-11wk-569.csv.gz,GSE162950,0,,
9,GSM4968840,liver 15 week,GSM4968840,Public on Jan 20 2022,Dec 09 2020,Jan 20 2022,SRA,1,liver,Homo sapiens,9606,time: 15wk,total RNA,"For single cell RNA-sequencing, dissociated cells were stained with the following antibodies: human-CD45-APC-H7 cl.2D1 (BioLegend 368516; 1:100), CD34-BV605 cl. 581 , CD34-BV605 cl. 581 , CD90-APC cl. 5E10 (BD 562556; 1:100), CD38-PE-Cy7 cl. HIT2 (BD 560677; 1:100), CD43-FITC cl.1G10 (BD 555475; 1:20), CD235a-PE cl. 3H9. CD34+ and/or CD31+ cells were sorted into PBS 0.04% BSA using a BD FACS Aria cell sorter. Placenta, second trimester liver and cord blood were magnetically enriched for CD34+ cells using human CD34 MicroBead Kit UltraPure (Miltenyi) and following manufacturer instructions. | For the generation of single-cell gel beads in emulsion, cells were loaded on a Chromium single cell instrument (10x Genomics) with an estimated targeted cell recovery of ~5,000 cells as per manufacturer’s protocol. In brief, single-cell suspension of cells in 0.4% BSA-PBS were added to each channel on the 10X chip. Cells were partitioned with Gel Beads into emulsion in the Chromium instrument where cell lysis and barcoded reverse transcription of RNA occurred following amplification. Single-cell RNAseq libraries were prepared by using the Chromium single cell 3’ library and gel bead kit v2 (10X Genomics).",Sequencing was performed on Illumina NovaSeq 6000. | The raw reads were mapped to human reference genome (refdata-cellranger-GRCh38-1.2.0) using cellranger count. | Genome_build: hg38 | Supplementary_files_format_and_content: Matrix table with raw gene counts for each cell,GPL24676,"Feiyang,,Ma",Pellegrini Lab,Molecular Biology Institute,UCLA,"610, Charles Young Dr East, TLSB 3000C",Los Angeles,CA,90095,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17043290 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX9665013,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4968nnn/GSM4968840/suppl/GSM4968840_Liver-15wk-101.csv.gz,GSE162950,0,,
