,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
0,GSM5236518,human_CS12_spinalcord_rep1,GSM5236518,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic spinal cord at CS12,Homo sapiens,9606,developmental stage: CS12 | tissue: spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714751 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579568,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236518/suppl/GSM5236518_human_CS12_spinalcord_rep1.tar.gz,GSE171890 | GSE171892,0
1,GSM5236519,human_CS12_spinalcord_rep2,GSM5236519,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic spinal cord at CS12,Homo sapiens,9606,developmental stage: CS12 | tissue: spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714750 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579569,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236519/suppl/GSM5236519_human_CS12_spinalcord_rep2.tar.gz,GSE171890 | GSE171892,0
2,GSM5236520,human_CS14_brachial_rep1,GSM5236520,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS14,Homo sapiens,9606,developmental stage: CS14 | tissue: brachial spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714749 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579570,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236520/suppl/GSM5236520_human_CS14_brachial_rep1.tar.gz,GSE171890 | GSE171892,0
3,GSM5236521,human_CS14_thoracic_rep1,GSM5236521,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS14,Homo sapiens,9606,developmental stage: CS14 | tissue: thoracic spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714745 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579571,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236521/suppl/GSM5236521_human_CS14_thoracic_rep1.tar.gz,GSE171890 | GSE171892,0
4,GSM5236522,human_CS17_brachial_rep1,GSM5236522,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS17,Homo sapiens,9606,developmental stage: CS17 | tissue: brachial spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714744 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579572,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236522/suppl/GSM5236522_human_CS17_brachial_rep1.tar.gz,GSE171890 | GSE171892,0
5,GSM5236523,human_CS17_brachial_rep2,GSM5236523,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS17,Homo sapiens,9606,developmental stage: CS17 | tissue: brachial spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714741 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579573,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236523/suppl/GSM5236523_human_CS17_brachial_rep2.tar.gz,GSE171890 | GSE171892,0
6,GSM5236524,human_CS17_thoracic_rep1,GSM5236524,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS17,Homo sapiens,9606,developmental stage: CS17 | tissue: thoracic spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714740 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579574,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236524/suppl/GSM5236524_human_CS17_thoracic_rep1.tar.gz,GSE171890 | GSE171892,0
7,GSM5236525,human_CS17_thoracic_rep2,GSM5236525,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS17,Homo sapiens,9606,developmental stage: CS17 | tissue: thoracic spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714739 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579575,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236525/suppl/GSM5236525_human_CS17_thoracic_rep2.tar.gz,GSE171890 | GSE171892,0
8,GSM5236526,human_CS19_brachial_rep1,GSM5236526,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS19,Homo sapiens,9606,developmental stage: CS19 | tissue: brachial spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714748 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579576,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236526/suppl/GSM5236526_human_CS19_brachial_rep1.tar.gz,GSE171890 | GSE171892,0
9,GSM5236527,human_CS19_brachial_rep2,GSM5236527,Public on Apr 12 2021,Apr 12 2021,Apr 13 2021,SRA,1,Human embryonic brachial spinal cord at CS19,Homo sapiens,9606,developmental stage: CS19 | tissue: brachial spinal cord,polyA RNA,"Human embryonic material (4-7 weeks of gestation) was obtained from the MRC/Wellcome-Trust (grant #006237/1) funded Human Developmental Biology Resource (HDBR57, http://www.hdbr.org) with appropriate maternal written consent and approval from the London Fulham Research Ethics Committee (18/LO/0822) and the Newcastle and North Tyneside NHS Health Authority Joint Ethics Committee (08/H0906/21+5). Embryos were freshly collected on Hibernate-E medium (A12486, Gibco) supplemented with 2% B-27 (17504001 ThermoFisher Scientific) and 2.5 mL/L Glutamax (3505006, Gibco) and kept on ice until further dissection. Trunk samples of single embryos were dissected as in (Delile et al., 2019. PMID 30846445) | RNA libraries were prepared for sequencing using Chromium Single Cell 3' v3 protocol for the human and v2 for the mouse; cDNA amplification involved 12 PCR cycles",Cell Ranger v3.1.0 and bcl2fastq 2.2.0 were used to quantify expression | Cell filtering to remove low quality cells from Seurat v3.2.2 | SCTransform and integration of biological replicates | Genome_build: GRCh38 ensembl-release 93 provided by 10X/Cell Ranger | Supplementary_files_format_and_content: Cell Ranger output matrices,GPL20301,"James,,Briscoe",james.briscoe@crick.ac.uk,02037961388,The Francis Crick Institute,1 Midland Road,London,NW1 1AT,United Kingdom,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN18714747 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10579577,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5236nnn/GSM5236527/suppl/GSM5236527_human_CS19_brachial_rep2.tar.gz,GSE171890 | GSE171892,0
