,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,supplementary_file_1,series_id,data_row_count
0,GSM6645126,"lung,PCW8.5, rep1 [10X140w1]",GSM6645126,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW8.5 | technology: Chromium | library technology: 10Xv2 | gender: female,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645126/suppl/GSM6645126_Sountoulidis2022_10X140w1_counts.h5,GSE215895 | GSE215898,0
1,GSM6645127,"lung,PCW6, rep1 [10X151w1]",GSM6645127,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW6 | technology: Chromium | library technology: 10Xv2 | gender: female,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645127/suppl/GSM6645127_Sountoulidis2022_10X151w1_counts.h5,GSE215895 | GSE215898,0
2,GSM6645128,"lung,PCW8, rep1 [10X158w3]",GSM6645128,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW8 | technology: Chromium | library technology: 10Xv2 | gender: female,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645128/suppl/GSM6645128_Sountoulidis2022_10X158w3_counts.h5,GSE215895 | GSE215898,0
3,GSM6645129,"lung,PCW8.5, rep2 [10X166w2]",GSM6645129,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW8.5 | technology: Chromium | library technology: 10Xv3 | gender: male,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645129/suppl/GSM6645129_Sountoulidis2022_10X166w2_counts.h5,GSE215895 | GSE215898,0
4,GSM6645130,"lung,PCW5, rep1 [10X180w1]",GSM6645130,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW5 | technology: Chromium | library technology: 10Xv3 | gender: female,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645130/suppl/GSM6645130_Sountoulidis2022_10X180w1_counts.h5,GSE215895 | GSE215898,0
5,GSM6645131,"lung,PCW12, rep1 [10X189w1]",GSM6645131,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW12 | technology: Chromium | library technology: 10Xv3 | gender: male,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645131/suppl/GSM6645131_Sountoulidis2022_10X189w1_counts.h5,GSE215895 | GSE215898,0
6,GSM6645132,"lung,PCW12, rep2 [10X189w2]",GSM6645132,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW12 | technology: Chromium | library technology: 10Xv3 | gender: male,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645132/suppl/GSM6645132_Sountoulidis2022_10X189w2_counts.h5,GSE215895 | GSE215898,0
7,GSM6645133,"lung,PCW13, rep1 [10X214w1]",GSM6645133,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW13 | technology: Chromium | library technology: 10Xv3 | gender: female,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645133/suppl/GSM6645133_Sountoulidis2022_10X214w1_counts.h5,GSE215895 | GSE215898,0
8,GSM6645134,"lung,PCW13, rep2 [10X214w2]",GSM6645134,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW13 | technology: Chromium | library technology: 10Xv3 | gender: female,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645134/suppl/GSM6645134_Sountoulidis2022_10X214w2_counts.h5,GSE215895 | GSE215898,0
9,GSM6645135,"lung,PCW13, rep3 [10X247w1]",GSM6645135,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW13 | technology: Chromium | library technology: 10Xv3 | gender: male,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645135/suppl/GSM6645135_Sountoulidis2022_10X247w1_counts.h5,GSE215895 | GSE215898,0
10,GSM6645136,"lung,PCW13, rep4 [10X247w2]",GSM6645136,Public on Jan 17 2023,Oct 17 2022,Jan 17 2023,SRA,1,lung,Homo sapiens,9606,tissue: lung | age: PCW13 | technology: Chromium | library technology: 10Xv3 | gender: male,N/A,N/A,total RNA,"The tissues were triturated with glass Pasteur pipettes every 15-20 min to enhance dissociation. After digestion, the cell suspension was filtered in a 15ml Falcon tube using a 30μm cell strainer (CellTrics, Sysmex), to remove clumps and debris. The cell suspension was kept ice cold and was diluted (roughly 1:2) with ice cold HBSS. The filtered cells were pelleted at 200g for 5 min at 4 °C and the pellet resuspended in a small volume of calcium- and magnesium-free HBSS (Gibco, cat no. 14170) and transferred to 1.5ml Eppendorf tubes precoated with 30% BSA (A9576, Sigma-Aldrich). A Bürker chamber was used for cell counting. | Single-cell RNAseq was carried out with the Chromium Single Cell 3´ Reagent Kit v2 and v3. Cell suspensions were counted and diluted to concentrations of 800 – 1200 cells/μl for a target recovery of 5000 cells on the Chromium platform. Downstream procedures including cDNA synthesis, library preparation and sequencing were performed according to the manufacturer’s instructions (10X Genomics Inc.). Libraries were sequenced on an Illumina NovaSeq 6000 (Illumina). We aimed to obtain 75.000 and 200.000 sequencing reads/cell for the v2 and v3 libraries respectively to match the different performances of the Chromium Single Cell 3´ Reagent v2 and v3 Kits and to achieve sufficient sequencing saturation. Across all 39 libraries we obtained an average of 187242 reads/cell.",Reads were aligned to the human reference genome  and libraries were demultiplexed and aligned with the 10X Genomics pipeline CellRanger (version 3.0.2). | Loom files were generated for each sample by running Velocyto (0.17.17) 76 in order to map molecules to unspliced and spliced transcripts. | Assembly: GRCh38-3.0.0 | Supplementary files format and content: Matrix tables with raw gene counts for every gene and every sample,GPL30173,"Paulo,,Czarnewski",czarnewski@gmail.com,KTH,Tomtebodavägen 23b,Solna,171 65,Sweden,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6645nnn/GSM6645136/suppl/GSM6645136_Sountoulidis2022_10X247w2_counts.h5,GSE215895 | GSE215898,0
