,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
0,GSM7840556,DRG1_GW8_sample2,GSM7840556,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808170 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088627,NONE,GSE245310,0
1,GSM7840557,DRG_GW8_sample1_lane1_S2-1,GSM7840557,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808169 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088628,NONE,GSE245310,0
2,GSM7840558,DRG_GW8_sample1_lane1_S2-2,GSM7840558,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808168 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088629,NONE,GSE245310,0
3,GSM7840559,DRG_GW8_sample1_lane1_S2-3,GSM7840559,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808167 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088630,NONE,GSE245310,0
4,GSM7840560,DRG_GW8_sample1_lane1_S2-4,GSM7840560,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808166 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088631,NONE,GSE245310,0
5,GSM7840561,DRG_GW8_sample1_lane2_S2_1,GSM7840561,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808165 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088632,NONE,GSE245310,0
6,GSM7840562,DRG_GW8_sample1_lane2_S2_2,GSM7840562,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808164 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088633,NONE,GSE245310,0
7,GSM7840563,DRG_GW8_sample1_lane2_S2_3,GSM7840563,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808163 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088634,NONE,GSE245310,0
8,GSM7840564,DRG_GW8_sample1_lane2_S2_4,GSM7840564,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808162 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088635,NONE,GSE245310,0
9,GSM7840565,DRG_GW8_sample1_lane3-S2-1,GSM7840565,Public on Sep 05 2024,Oct 13 2023,Sep 05 2024,SRA,1,dorsal root ganglion,Homo sapiens,9606,tissue: dorsal root ganglion,polyA RNA,"Human fetal DRG samples across GW7-21 were collected in ice-cold oxygenated artificial cerebrospinal fluid at PH 7.4. DRG samples were transferred into 2 ml ice-cold EZ PREP and were homogenized by grinding with a glass Dounce tissue grinder . Transfer the tissue homogenate into a 15 ml tube, add 2 ml of EZ PREP, incubate on ice for 5 minutes and centrifuge at 500 g at 4℃ for 5 minutes. The supernatant was removed and the nuclei were resuspended in 4 ml ice-cold EZ PREP, and the incubation and centrifugation were repeated once. Then, the nuclei were washed in Nuclei Suspension Buffer and centrifuge at 500 g at 4℃ for 5 minutes. Nuclei were resuspended and filtered through a 70 μm cell strainer, and the nuclei concentration was adjusted to 1,000 nuclei/μl. | The libraries were generated by using the Chromium Next GEM Single Cell 3' Kit v3 according to the 10x GENOMICS official instructions, and processed on the Illumina platform for sequencing with 150 bp paired-end reads",human_DRG_gene_expr.txt.gz,"Barcode filtering and sequence alignment were performed with software Cell Ranger (http://10xgenomics.com). Reads were aligned to the human reference genome (hg19) | raw counts extraction, normalization, dimensional reduction analysis and further downstream analysis were mainly performed with the R package Seurat | Assembly: hg19 | Supplementary files format and content: a gzip tab-delimited txt file include raw gene expression counts for each sample",GPL24676,"xiaoqun,,wang",xiaoqunwang@ibp.ac.cn,State Key Laboratory of Brain and Cognitive Science,Institute of Biophysics,Chinese Academy of Sciences,"15 Datun Road, Chaoyang District",Beijing,Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37808161 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22088636,NONE,GSE245310,0
