,sample_id,geo_accession
0,GSM7840556,GSE245310_GW8-2
1,GSM7840557,GSE245310_GW8-1
2,GSM7840558,GSE245310_GW8-1
3,GSM7840559,GSE245310_GW8-1
4,GSM7840560,GSE245310_GW8-1
5,GSM7840561,GSE245310_GW8-1
6,GSM7840562,GSE245310_GW8-1
7,GSM7840563,GSE245310_GW8-1
8,GSM7840564,GSE245310_GW8-1
9,GSM7840565,GSE245310_GW8-1
10,GSM7840566,GSE245310_GW8-1
11,GSM7840567,GSE245310_GW8-1
12,GSM7840568,GSE245310_GW8-1
13,GSM7840569,GSE245310_GW10-2
14,GSM7840570,GSE245310_GW10-1
15,GSM7840571,GSE245310_GW7-1
16,GSM7840572,GSE245310_GW7-2
17,GSM7840573,GSE245310_GW7-2
18,GSM7840574,GSE245310_GW7-2
19,GSM7840575,GSE245310_GW7-2
20,GSM7840576,GSE245310_GW7-2
21,GSM7840577,GSE245310_GW7-2
22,GSM7840578,GSE245310_GW7-2
23,GSM7840579,GSE245310_GW7-2
24,GSM7840580,GSE245310_GW7-2
25,GSM7840581,GSE245310_GW7-2
26,GSM7840582,GSE245310_GW7-2
27,GSM7840583,GSE245310_GW7-2
28,GSM7840584,GSE245310_GW14
29,GSM7840585,GSE245310_GW14
30,GSM7840586,GSE245310_GW14
31,GSM7840587,GSE245310_GW14
32,GSM7840588,GSE245310_GW17
33,GSM7840589,GSE245310_GW17
34,GSM7840590,GSE245310_GW17
35,GSM7840591,GSE245310_GW17
36,GSM7840592,GSE245310_GW21
37,GSM7840593,GSE245310_GW21
38,GSM7840594,GSE245310_GW21
39,GSM7840595,GSE245310_GW21
40,GSM7840596,GSE245310_GW9
41,GSM7840597,GSE245310_GW9
42,GSM7840598,GSE245310_GW9
43,GSM7840599,GSE245310_GW9
44,GSM7840600,GSE245310_GW9
45,GSM7840601,GSE245310_GW9
46,GSM7840602,GSE245310_GW9
47,GSM7840603,GSE245310_GW9
48,GSM7840604,GSE245310_GW9
49,GSM7840605,GSE245310_GW9
50,GSM7840606,GSE245310_GW9
51,GSM7840607,GSE245310_GW9
52,GSM7840608,GSE245310_GW12-1
53,GSM7840609,GSE245310_GW12-1
54,GSM7840610,GSE245310_GW12-1
55,GSM7840611,GSE245310_GW12-1
56,GSM7840612,GSE245310_GW12-2
57,GSM7840613,GSE245310_GW12-2
58,GSM7840614,GSE245310_GW12-2
59,GSM7840615,GSE245310_GW12-2
60,GSM7840616,GSE245310_GW15-1
61,GSM7840617,GSE245310_GW15-1
62,GSM7840618,GSE245310_GW15-1
63,GSM7840619,GSE245310_GW15-1
64,GSM7840620,GSE245310_GW15-2
65,GSM7840621,GSE245310_GW15-2
66,GSM7840622,GSE245310_GW15-2
67,GSM7840623,GSE245310_GW15-2
