,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
0,GSM8217705,Fetal lung tissue derived from GW 10.1,GSM8217705,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 10,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019905 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312768,NONE,GSE264407,0
1,GSM8217706,Fetal lung tissue derived from GW 10.2,GSM8217706,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 10,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019904 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312773,NONE,GSE264407,0
2,GSM8217707,Fetal lung tissue derived from GW 11.1,GSM8217707,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 11,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019903 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312774,NONE,GSE264407,0
3,GSM8217708,Fetal lung tissue derived from GW 12.3,GSM8217708,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 12,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019902 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312775,NONE,GSE264407,0
4,GSM8217709,Fetal lung tissue derived from GW 13.4,GSM8217709,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 13,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019901 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312776,NONE,GSE264407,0
5,GSM8217710,Fetal lung tissue derived from GW 13.6,GSM8217710,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 13,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019900 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312777,NONE,GSE264407,0
6,GSM8217711,Fetal lung tissue derived from GW 14.3,GSM8217711,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 14,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019899 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312778,NONE,GSE264407,0
7,GSM8217712,Fetal lung tissue derived from GW 15.5 sample 1,GSM8217712,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 15,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019898 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312779,NONE,GSE264407,0
8,GSM8217713,Fetal lung tissue derived from GW 15.5 sample 2,GSM8217713,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 15,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019897 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312780,NONE,GSE264407,0
9,GSM8217714,Fetal lung tissue derived from GW 16.1,GSM8217714,Public on Jun 04 2024,Apr 19 2024,Jun 04 2024,SRA,1,Fetal lung tissue,Homo sapiens,9606,tissue: Fetal lung tissue | age: GW 16,total RNA,Human fetal lung tissues were dissociated into single-cell suspension using the Multi Tissue Dissociation Kit 1 and 37C Multi_tissue_dissociation B program. Dissociated cells were collected through a 40 µm pore size cell strainer  and incubated with RBC lysis buffer for two minutes. | Library construction was done using the 10X Chromium Next GEM single-cell 3’ Reagent Kits v3.1 (10x Genomics). Library prep was performed as per manufacturer’s protocol.,"FASTQ files generated from supernova/cellranger mkfastq and bcl2fastq2 v2.20 | Seurat v4 was used for subsequent analysis. Cells with less than 200 features, greater than 15% mitochondrial transcript, and genes expressed in less than 3 cells were excluded from our analysis. Furthermore, principal component analysis (PCA) for each sample was done to ensure filtering of doublets and high-quality cells. Gene expression levels were log normalized datasets and highly variable features that identify high cell-cell variation within each sample dataset were determined using Seurat‘s FindVariableFeatures. Subsequently features that were repeatedly variable across each sample dataset were identified as integration features. Data was then scaled (linear transformation) was done using Seurat’s ScaleData and principal component analysis (PCA) (linear dimensional reduction) was done on each sample dataset. Generation of a master dataset was done by integrating all the sample datasets using Seurat’s reciprocal PCA (RPCA) integration (3000 features). Subsequent PCA analysis was done to ensure proper integration and 30 dimensions were retained for further analysis. Further reduction was done through uniform manifold approximation and projection (UMAP) (non-linear dimensional reduction) and cluster analysis was done using Seurat’s FindClusters. | Assembly: GRCh38 | Supplementary files format and content: Seurat object containing integrated object of all raw data.",GPL24676,"Amy,,Wong",apwong@sickkids.ca,4168139334,Developmental & Stem Cell Biology,The Hospital for Sick Children,"686 Bay Street, Toronto",Toronto,Ontario,M5G 0A4,Canada,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN41019896 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24312781,NONE,GSE264407,0
