,run_accession,study_accession,experiment_accession,sample_accession,secondary_sample_accession,sample_title
0,ERR7441146,PRJEB37165,ERX3984867,SAMEA6877901,ERS4605098,CZIKidney7632802
1,ERR7441150,PRJEB37165,ERX3984874,SAMEA6877895,ERS4605087,FCAImmP7528292_F38_KI_45P
2,ERR7441155,PRJEB37165,ERX3984862,SAMEA6877887,ERS4605092,CZIKidney7587407
3,ERR7441157,PRJEB37165,ERX3984861,SAMEA6877882,ERS4605086,FCAImmP7462242_F35_KI_45P
4,ERR7441160,PRJEB37165,ERX3984859,SAMEA6877879,ERS4605097,FCAImmP7555849_F41_KI_45P
5,ERR7441164,PRJEB37165,ERX3984858,SAMEA6877913,ERS4605099,CZIKidney7587408
6,ERR7441165,PRJEB37165,ERX3984854,SAMEA6877885,ERS4605088,CZIKidney7632801
7,ERR7441148,PRJEB37165,ERX3984869,SAMEA6877889,ERS4605095,4834STDY7002875_F16_KI_45P
8,ERR7441149,PRJEB37165,ERX3984872,SAMEA6877898,ERS4605093,4834STDY7002881_F17_KI_TOT
9,ERR7441153,PRJEB37165,ERX3984866,SAMEA6877919,ERS4605082,4834STDY7002876_F16_KI_45N
10,ERR7441154,PRJEB37165,ERX3984875,SAMEA6877891,ERS4605085,CZIKidney7587404
11,ERR7441156,PRJEB37165,ERX3984865,SAMEA6877917,ERS4605080,CZIKidney7632803
12,ERR7441158,PRJEB37165,ERX3984868,SAMEA6877896,ERS4605090,FCAImmP7462243_F35_KI_45N
13,ERR7441159,PRJEB37165,ERX3984860,SAMEA6877880,ERS4605084,4834STDY7002886_F17_KI_45N
14,ERR7441162,PRJEB37165,ERX3984856,SAMEA6877907,ERS4605081,CZIKidney7632804
15,ERR7441166,PRJEB37165,ERX3984864,SAMEA6877874,ERS4605089,FCAImmP7579214_F45_KI_45P
16,ERR7441145,PRJEB37165,ERX3984873,SAMEA6877900,ERS4605096,CZIKidney7587406
17,ERR7441147,PRJEB37165,ERX3984863,SAMEA6877890,ERS4605083,FCAImmP7555850_F41_KI_45N
18,ERR7441151,PRJEB37165,ERX3984870,SAMEA6877915,ERS4605078,CZIKidney7587405
19,ERR7441152,PRJEB37165,ERX3984871,SAMEA6877916,ERS4605079,4834STDY7002885_F17_KI_45P
20,ERR7441161,PRJEB37165,ERX3984857,SAMEA6877899,ERS4605094,FCAImmP7528293_F38_KI_45N
21,ERR7441163,PRJEB37165,ERX3984855,SAMEA6877876,ERS4605091,FCAImmP7579215_F45_KI_45N
