Sample/ pool (submission ID),Sanger ID,Targeted cells ,Library type,Manifest request line,Manifest,RT-ticket,Plate/ Tube barcode,Date of sample collection from patient,Manifest submitted ,Date sample submitted,Run no. ,Platform,Read length,Total plex (no. samples in pool),#lanes,cDNA concentration (ng/µl),Index plate,Chromium tag well,QC status,Data analysis requested,iRods location
F218-WEM-0-SC-1_Rep1_P,HDBI_wEMB14781754,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,38,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781754_GRCh38-2020-A
F218-WEM-0-SC-1_Rep2_P,HDBI_wEMB14781755,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,42.5,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781755_GRCh38-2020-A
F218-WEM-0-SC-16_Rep1_P,HDBI_wEMB14781756,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,59.9,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781756_GRCh38-2020-A
F218-WEM-0-SC-19_Rep1_P,HDBI_wEMB14781757,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,18,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781757_GRCh38-2020-A
F218-WEM-0-SC-9_Rep1_P,HDBI_wEMB14781758,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,140,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781758_GRCh38-2020-A
F218-WEM-0-SC-9_Rep2_P,HDBI_wEMB14781759,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,38.2,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781759_GRCh38-2020-A
F218-WEM-0-SC-14_Rep1_P,HDBI_wEMB14781760,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,45.1,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781760_GRCh38-2020-A
F218-WEM-0-SC-14_Rep2_P,HDBI_wEMB14781761,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,60.4,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781761_GRCh38-2020-A
F218-WEM-0-SC-14_Rep3_P,HDBI_wEMB14781762,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,29.6,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781762_GRCh38-2020-A
F218-WEM-0-SC-16_Rep2_P,HDBI_wEMB14781763,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,27,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781763_GRCh38-2020-A
F218-WEM-0-SC-16_Rep3_P,HDBI_wEMB14781764,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,22.9,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781764_GRCh38-2020-A
F218-WEM-0-SC-19_Rep2_P,HDBI_wEMB14781765,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,13,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781765_GRCh38-2020-A
F218-WEM-0-SC-19_Rep3_P,HDBI_wEMB14781766,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,13.3,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781766_GRCh38-2020-A
F218-WEM-0-SC-21_Rep1_P,HDBI_wEMB14781767,"20,000",HT 3'GEX,CG24_188,24426,#801803,SQPP-53013-T,01/09/2023,26/4/2024,01/05/2024,48924,NS6000 S4,28/10/10/90,48,1,15.8,,,QC complete 25/05/2024,,/seq/illumina/runs/48/48924/cellranger/cellranger601_count_48924_HDBI_wEMB14781767_GRCh38-2020-A
