publication_id,accession,institute,fastq avialability,source,status,done by,secondary publications,comment,link,old_title,key
calvanese_2022_agm,GSE162950,"Broad Stem Cell Research Center, UCLA",open,external,done,alex,,"we use just four samples, I guess AGM stands for aorta-gonad-mesonephros",,Calvanese_et_al_2022_nature,
calvanese_2022_agm,GSE135202,"Broad Stem Cell Research Center, UCLA",open,external,done,alex,,"skipping 4 well-based (STRT-Seq) samples: CS12_CH, CS13_DA, CS14_AGM, CS15_AGM based otable S1 from https://doi.org/10.1038/s41422-019-0228-6",,,
dong_2020_adrenal,GSE137804,Children's Hospital of Fudan University,open,external,done,pasha,,"just four samples, to be selected by names",,Dong_et_al_2022_CancerCell,
braun_2023_brain,EGAD50000001295,Karolinska Institutet,protected,external,done,alex,,EGAS00001004107,,Braun_et_al._2022_bioRxiv,
braun_2023_brain,EGAD00001006049,Karolinska Institutet,protected,external,done,alex,,EGAS00001004107,,Braun_et_al._2022_bioRxiv,
collin_2021_cornea_conjunctiva,GSE155683,Newcastle University,open,external,done,pasha,,,,Colin_et_al_2022_ScienceDirect,
yu_2021_stomach,E-MTAB-10187,Roche,open,external,done,alex,,,,Yu_et_al_2020_Cell,
miller_2020_lung_airway_trachea,E-MTAB-8221,University of Michigan,open,external,done,alex,,,,Miller_et_al_2020_Developmental_Cell,
sridhar_2020_retina,GSE142526,University of Washington,open,external,done,pasha,,,,Sridhar_et_al_2020_CellPress,
garcia_alonso_2022_gonads,E-MTAB-10551,Wellcome Sanger Institute,open,external,done,alex,,,,Garcia_Alonso_et_al_2022_nature,
garcia_alonso_2022_gonads,E-MTAB-11708,Wellcome Sanger Institute,open,external,done,pasha,,not sure it was used ,,Garcia_Alonso_et_al_2022_nature,
garcia_alonso_2022_gonads,EGAD00001009386,Wellcome Sanger Institute,protected,internal,done,pasha,,for ArrayExpress  samples that doesnt have fastqs,,Garcia_Alonso_et_al_2022_nature,
garcia_alonso_2022_gonads,Garcia_Alonso_et_al_2022_nature,Wellcome Sanger Institute,not provided,internal,done,pasha,,some samples missed from original submission,,Garcia_Alonso_et_al_2022_nature,
garcia_alonso_2022_gonads,E-MTAB-8901,Wellcome Sanger Institute,open,external,done,pasha,,,,,
bayraktar_2024_heart,Kanemaru_et_al_2024_bioRxiv,Wellcome Sanger Institute,not provided,internal,done,pasha,,seems like paper is not published yet,,Kanemaru_et_al_2024_bioRxiv,
lawrence_2024_spine,EGAD00001009801,Wellcome Sanger Institute,protected,internal,done,pasha,,,,Lawrence_et_al_2024_nature_comm.,
suo_2022_immune_integration,E-MTAB-9536,Wellcome Sanger Institute,open,external,done,pasha,,"it should be Elmentaite2021, as this data are not part of 2020 paper (https://doi.org/10.1016/j.devcel.2020.11.010)",,Suo_et_al_2022_Science_Elmentaite2020,
suo_2022_immune_integration,E-MTAB-9389,Wellcome Sanger Institute,open,external,done,alex,,,,Suo_et_al_2022_Science_Jardine2021,
suo_2022_immune_integration,PRJEB37165,Wellcome Sanger Institute,open,external,done,pasha,,,,Suo_et_al_2022_Science_Stewart2019,
suo_2022_immune_integration,E-MTAB-11343,Wellcome Sanger Institute,open,external,done,pasha,,,,Suo_et_al_2022_Science_Suo2022,
suo_2022_immune_integration,PRJEB41514,Wellcome Sanger Institute,open,external,done,pasha,,,,,
webb_2026_embryo,E-MTAB-11504,Wellcome Sanger Institute,"open, not yet",internal,done,pasha,,,"https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11504?key=9f0f638d-74e1-4b99-9d49-fd1e219f8eb5 
",whole_embryo,9f0f638d-74e1-4b99-9d49-fd1e219f8eb5
