library_id,publication_id,institute,source,dataset_acc,library_id,author_sample_id,irods_name,HDCA_version
GSM4968831,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968831,aorta-gonad-mesonephros 4.5 week,GSM4968831,v1
GSM4968832,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968832,aorta-gonad-mesonephros 5 week,GSM4968832,v1
GSM4968833,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968833,aorta-gonad-mesonephros 5.5 week,GSM4968833,v1
GSM4968834,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968834,aorta-gonad-mesonephros 6 week,GSM4968834,v1
GSM4968835,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968835,cord 4.5 week,GSM4968835,v2
GSM4968836,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968836,cord blood 40 week,GSM4968836,v2
GSM4968837,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968837,head 4.5 week,GSM4968837,v2
GSM4968838,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968838,heart 4.5 week,GSM4968838,v2
GSM4968839,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968839,liver 11 week,GSM4968839,v2
GSM4968840,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968840,liver 15 week,GSM4968840,v2
GSM4968841,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968841,liver 4.5 week,GSM4968841,v2
GSM4968842,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968842,liver 5.5 week,GSM4968842,v2
GSM4968843,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968843,liver 6 week,GSM4968843,v2
GSM4968844,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968844,liver 8 week,GSM4968844,v2
GSM4968845,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968845,placenta 4.5 week,GSM4968845,v2
GSM4968846,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968846,vitelline artery 4.5 week,GSM4968846,v2
GSM4968847,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM4968847,yolk sac 4.5 week,GSM4968847,v2
GSM5513604,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513604,Spatial_transcriptomics_5 weeks (CS15) human embryo_1,GSM5513604,v2
GSM5513605,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513605,Spatial_transcriptomics_5 weeks (CS15) human embryo_2,GSM5513605,v2
GSM5513606,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513606,Spatial_transcriptomics_5 weeks (CS15) human embryo_4,GSM5513606,v2
GSM5513607,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513607,Spatial_transcriptomics_5 weeks (CS15) human embryo_5,GSM5513607,v2
GSM5513608,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513608,Spatial_transcriptomics_5 weeks (CS15) human embryo_6,GSM5513608,v2
GSM5513609,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513609,Spatial_transcriptomics_5 weeks (CS15) human embryo_7,GSM5513609,v2
GSM5513610,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM5513610,Spatial_transcriptomics_5 weeks (CS15) human embryo_8,GSM5513610,v2
GSM6205030,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM6205030,EB-A-adherent,GSM6205030,v2
GSM6205031,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM6205031,EB-A-suspension,GSM6205031,v2
GSM6205032,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM6205032,EB-B-adherent,GSM6205032,v2
GSM6205033,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE162950,GSM6205033,EB-B-suspension,GSM6205033,v2
GSM3993420,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993420,CS10_body_10x,GSM3993420,v2
GSM3993421,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993421,CS11_CH_10x,GSM3993421,v2
GSM3993422,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993422,CS13_DA_10x,GSM3993422,v2
GSM3993423,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993423,CS12_CH,GSM3993423,v2
GSM3993424,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993424,CS13_DA,GSM3993424,v2
GSM3993425,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993425,CS14_AGM,GSM3993425,v2
GSM3993426,calvanese_2022_agm,"Broad Stem Cell Research Center, UCLA",external,GSE135202,GSM3993426,CS15_AGM,GSM3993426,v2
GSM4088774,dong_2020_adrenal,Children's Hospital of Fudan University,external,GSE137804,GSM4088774,T10,GSM4088774,v2
