institute,study,library_id_fixed,n_cells,library_id_is_sanger,n_unique_bs,dataset_acc,library_acc,,comment
Karolinska,Braun_et_al._2022_bioRxiv,10X101_1,6610,FALSE,6610,EGAD00001006049,10X101_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_2,7579,FALSE,7579,EGAD00001006049,10X101_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_3,7635,FALSE,7635,EGAD00001006049,10X101_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_4,6970,FALSE,6970,EGAD00001006049,10X101_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_5,6135,FALSE,6135,EGAD00001006049,10X101_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_6,6547,FALSE,6547,EGAD00001006049,10X101_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_7,6345,FALSE,6345,EGAD00001006049,10X101_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X101_8,6426,FALSE,6426,EGAD00001006049,10X101_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_1,5607,FALSE,5607,EGAD00001006049,10X102_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_2,4230,FALSE,4230,EGAD00001006049,10X102_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_3,6055,FALSE,6055,EGAD00001006049,10X102_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_4,6652,FALSE,6652,EGAD00001006049,10X102_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_5,2950,FALSE,2950,EGAD00001006049,10X102_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_6,3357,FALSE,3357,EGAD00001006049,10X102_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_7,2018,FALSE,2018,EGAD00001006049,10X102_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X102_8,3688,FALSE,3688,EGAD00001006049,10X102_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_1,4154,FALSE,4154,EGAD00001006049,10X104_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_3,4579,FALSE,4579,EGAD00001006049,10X104_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_4,4529,FALSE,4529,EGAD00001006049,10X104_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_5,4298,FALSE,4298,EGAD00001006049,10X104_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_6,4488,FALSE,4488,EGAD00001006049,10X104_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_7,4941,FALSE,4941,EGAD00001006049,10X104_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X104_8,4469,FALSE,4469,EGAD00001006049,10X104_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X109_2,1833,FALSE,1833,EGAD00001006049,10X109_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X109_3,2246,FALSE,2246,EGAD00001006049,10X109_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X109_4,4030,FALSE,4030,EGAD00001006049,10X109_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X109_7,2284,FALSE,2284,EGAD00001006049,10X109_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X110_4,2301,FALSE,2301,EGAD00001006049,10X110_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X110_5,6957,FALSE,6957,EGAD00001006049,10X110_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X110_6,5178,FALSE,5178,EGAD00001006049,10X110_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X111_1,8862,FALSE,8862,EGAD00001006049,10X111_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X111_2,9142,FALSE,9142,EGAD00001006049,10X111_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X112_1,10925,FALSE,10925,EGAD00001006049,10X112_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X112_2,9902,FALSE,9902,EGAD00001006049,10X112_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X114_1,11319,FALSE,11319,EGAD00001006049,10X114_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X114_3,7081,FALSE,7081,EGAD00001006049,10X114_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X114_4,8317,FALSE,8317,EGAD00001006049,10X114_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_1,3992,FALSE,3992,EGAD00001006049,10X115_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_2,3560,FALSE,3560,EGAD00001006049,10X115_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_3,3970,FALSE,3970,EGAD00001006049,10X115_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_5,3879,FALSE,3879,EGAD00001006049,10X115_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_6,4576,FALSE,4576,EGAD00001006049,10X115_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_7,4447,FALSE,4447,EGAD00001006049,10X115_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X115_8,4416,FALSE,4416,EGAD00001006049,10X115_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_1,5007,FALSE,5007,EGAD00001006049,10X116_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_2,687,FALSE,687,EGAD00001006049,10X116_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_3,4523,FALSE,4523,EGAD00001006049,10X116_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_4,5152,FALSE,5152,EGAD00001006049,10X116_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_5,4084,FALSE,4084,EGAD00001006049,10X116_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_6,3830,FALSE,3830,EGAD00001006049,10X116_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_7,3853,FALSE,3853,EGAD00001006049,10X116_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X116_8,3971,FALSE,3971,EGAD00001006049,10X116_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_1,4690,FALSE,4690,EGAD00001006049,10X118_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_2,3808,FALSE,3808,EGAD00001006049,10X118_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_3,3988,FALSE,3988,EGAD00001006049,10X118_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_4,4311,FALSE,4311,EGAD00001006049,10X118_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_5,2985,FALSE,2985,EGAD00001006049,10X118_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_6,3106,FALSE,3106,EGAD00001006049,10X118_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_7,3454,FALSE,3454,EGAD00001006049,10X118_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X118_8,3199,FALSE,3199,EGAD00001006049,10X118_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_1,4384,FALSE,4384,EGAD00001006049,10X119_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_2,3956,FALSE,3956,EGAD00001006049,10X119_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_3,2598,FALSE,2598,EGAD00001006049,10X119_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_4,3911,FALSE,3911,EGAD00001006049,10X119_4,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_5,4527,FALSE,4527,EGAD00001006049,10X119_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_6,4561,FALSE,4561,EGAD00001006049,10X119_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_7,4436,FALSE,4436,EGAD00001006049,10X119_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X119_8,4107,FALSE,4107,EGAD00001006049,10X119_8,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_1,4788,FALSE,4788,EGAD00001006049,10X122_1,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_2,4164,FALSE,4164,EGAD00001006049,10X122_2,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_3,4161,FALSE,4161,EGAD00001006049,10X122_3,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_5,2933,FALSE,2933,EGAD00001006049,10X122_5,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_6,3912,FALSE,3912,EGAD00001006049,10X122_6,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_7,2820,FALSE,2820,EGAD00001006049,10X122_7,,
Karolinska,Braun_et_al._2022_bioRxiv,10X122_8,3322,FALSE,3322,EGAD00001006049,10X122_8,,
